month,object_id,Awarded Value
2020_10,112.0,18286886.85
2020_10,119.0,0.0
2020_10,122.0,45992874.29000001
2020_10,128.0,15915057.83
2020_10,134.0,49174620.71
2020_10,135.0,6979500.0
2020_10,138.0,39702160.9
2020_10,150.0,121399657.1
2020_10,154.0,38850000.0
2020_10,161.0,65522816.72
2020_10,167.0,9849398.0
2020_10,175.0,8092105.7
2020_10,185.0,210329063.84
2020_10,188.0,7510502.0
2020_10,189.0,9374617.28
2020_10,214.0,21257935.04
2020_10,221.0,14317682.0
2020_10,259.0,3306435.0
2020_10,261.0,11534714.0
2020_10,263.0,12820548.32
2020_10,267.0,24070686.22
2020_10,272.0,4735387.93
