month,DISTRICT_FINALISED,REVENUE_CIRCLE_FINALISED,Awarded Value
2022_02,BARPETA,Barpeta,3979000.0
2022_02,CACHAR,Katigora,0.0
2022_02,CHIRANG,Bengtal,0.0
2022_02,DHEMAJI,Dhemaji,487487580.0
2022_02,DHEMAJI,Jonai,9111437.0
2022_02,GOALPARA,Matia,23821600.0
2022_02,KAMRUP,"North
Guwahati",4969250.0
2022_02,KAMRUP METRO,Guwahati,68479816.0
2022_02,KARIMGANJ,Badarpur,3599984.0
2022_02,KARIMGANJ,Karimganj,3599848.0
2022_02,MAJULI,Majuli,42083269.0
2022_02,NALBARI,Nalbari,5631676.0
2022_02,SIVSAGAR,Amguri,89251844.0
2022_02,SIVSAGAR,Dimow,6041701.0
