object_id,gmted_drainage_density_without_1,srtm_filled_dem,GCN250_ARCIII_average,Inundation,sum,assam_dist_from_major_rivers_updated_3857,strm_filled_slope_degrees,ndvi,assam_soil_silt,assam_soil_loamysand,assam_soil_rocky,assam_lith_neogene,assam_lith_paleogene,assam_lith_paleozoic,assam_lith_quaternary,assam_lith_tertiary,assam_lith_undevelopedprecambrian,assam_lith_water,landuse_rangeland,landuse_vegetation,landuse_water,ind_ppp_UNadj,aged,young,percaay,deprived,nophone,noSanitation,nodrinkingWater,totLivestock,proximity_hosptial_rd,proximity_embankment_rd,proximity_rail_rd,proximity_local_rd,proximity_arterial_rd,ndbi,population_affected,human_lives_lost,roads_dam,bridges_dam,embankment_total,Count_Roads_Bridges_Embankments,Sum_Roads_Bridges_Embankments,Count_Erosion,Sum_Erosion,Count_IM,Sum_IM,Count_new_const,Sum_new_const,Count_repair_rest_imp,Sum_repair_rest_imp,Count_relief_preparation,Sum_relief_preparation,Count_goods,Sum_goods,Count_Total,Sum_Total,Count_SDRF,Sum_SDRF,Count_SOPD,Sum_SOPD,Count_CIDF,Sum_CIDF,Count_LTIF,Sum_LTIF,Count_RIDF,Sum_RIDF
216,0.00048629843760901996,203.38715831032624,88.4026479040039,0.04849331033616064,1760.0806344870448,37411.20798660488,89.64802265598257,0.7550786453380034,0,0,0,0,0,0,1,0,0,0,0,1,0,747.0,1.0,7.8,8.6,11.8,208.4,241.4,4.8,1024.2,4445.918148166436,4.567951220032613e-05,11308.147845616477,418.28329459351033,4879.470872405512,0.49896494376352224,0,0,37.0,3.0,36.0,6.0,368017594.0,0.0,0.0,1.0,9999627.0,4.0,208200924.0,6.0,369012221.0,0.0,0.0,0.0,0.0,7.0,378017221.0,1.0,9999627.0,4.0,173255194.0,0.0,0.0,0.0,0.0,2.0,194762400.0
217,0.00047461566035412003,70.11963657377468,89.22805501520403,0.19817095556872125,1155.356518565626,5418.133900022238,89.7962899166001,0.67749732909736,0,1,0,0,0,0,1,0,0,0,0,1,0,353.0,6.8,23.0,27.0,256.2,81.0,119.4,14.4,479.4,1878.843718802052,0.00105140294544756,3837.17816151683,349.99855138508184,1335.3210381075216,0.5205426543725917,0,0,37.0,3.0,36.0,4.0,45188049.0,0.0,0.0,0.0,0.0,3.0,12646835.0,1.0,32541214.0,0.0,0.0,0.0,0.0,4.0,45188049.0,0.0,0.0,2.0,7382800.0,0.0,0.0,0.0,0.0,0.0,0.0
218,0.00067136678525028,60.15598693368639,89.25807279287184,0.3245332211942809,1461.0984973236473,29652.48841444298,89.98157327180841,0.6818269207997222,0,0,0,0,0,0,1,0,0,0,0,1,0,358.0,12.0,42.8,50.0,0.6,1.0,125.6,16.8,480.8,3130.79480283939,0.000125419373959,8015.355862177763,168.6411904160422,1279.5012705097909,0.542691315240459,0,0,37.0,3.0,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,
219,0.00045408705506318,77.06817222138758,92.61988518171854,0.016513761467889902,1169.8643961114976,8060.210447599342,89.65748329970208,0.6371737691457946,0,1,0,0,0,0,1,0,0,0,0,0,0,4302.4,218.6,338.4,113.8,0.6,801.2,1524.8,601.2,2191.2,3784.9719780178393,9.833802266717045e-05,923.7242472881433,2851.5552808820566,5222.257171009664,0.5411579884534894,21747,6,0.0,0.0,0.0,41.0,2018642081.0,0.0,0.0,8.0,137508370.0,9.0,228219800.0,34.0,1808460529.0,0.0,0.0,0.0,0.0,47.0,2105992970.0,7.0,133008370.0,31.0,1750302800.0,0.0,0.0,0.0,0.0,1.0,167655800.0
220,0.00047106487064902,148.63553440105534,88.20754527863846,0.29777781027702277,1013.9522782937065,13359.562606932843,89.14425292504032,0.7324834494148906,0,0,0,0,0,0,1,0,0,0,0,1,0,1392.6,13.4,39.8,1.6,1.0,4.4,476.6,161.4,621.4,3594.6548135950857,6.978366991360252e-05,3681.9326369217924,532.8118027383705,4322.650807007036,0.4941016791207714,95646,4,0.0,0.0,0.0,6.0,210221670.0,0.0,0.0,6.0,73398290.0,1.0,149823000.0,4.0,64998319.0,0.0,0.0,0.0,0.0,8.0,238221188.0,5.0,69998290.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14999898.0
221,0.00040131608123128003,175.76965169155181,87.85336590631826,0.451756824456893,1017.4435682702272,5330.408103449486,89.03036406706512,0.7386809248704151,0,0,0,0,0,0,1,0,0,0,0,1,0,455.0,4.6,34.0,0.2,158.8,75.2,158.2,56.6,208.4,2969.8905664815525,8.065878370114909e-05,2544.2016361784135,917.1681943279161,2747.7440397500372,0.47384691147898483,3489,0,1.0,0.0,0.0,7.0,157391756.0,0.0,0.0,2.0,39999937.0,5.0,132542788.0,5.0,74204905.0,0.0,0.0,0.0,0.0,10.0,197391693.0,2.0,39999937.0,3.0,34204968.0,0.0,0.0,0.0,0.0,0.0,0.0
222,0.0006688127476958199,48.911440062914295,89.04202894549772,0.6472191166626435,1725.613378940626,19948.523260513924,88.4362711042885,0.7104760439383542,0,0,0,0,0,0,1,0,0,0,0,1,0,500.6,5.4,45.2,50.6,0.4,0.4,173.4,0.2,532.2,1784.3899789633258,0.00064105326905256,3506.785421360625,209.4368481076637,3218.4153014937338,0.5269240231676674,44605,2,197.0,6.0,16.0,3.0,81710000.0,0.0,0.0,2.0,17950000.0,1.0,63760000.0,2.0,17950000.0,0.0,0.0,0.0,0.0,3.0,81710000.0,2.0,17950000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
223,0.00066415280399582,47.24465452811563,89.47545406513608,0.6984137127815345,1642.8893124643407,13030.777870902442,88.59755164597769,0.6947396382540715,0,0,0,0,0,0,1,0,0,0,0,1,0,843.4,17.6,99.6,102.2,51.2,188.2,298.0,0.0,887.2,2064.846587508675,0.00028982794845202004,8870.346803293487,186.64494308881166,2100.4391798107886,0.5107628092210138,101958,3,178.0,6.0,13.0,2.0,2418000.0,0.0,0.0,2.0,2418000.0,0.0,0.0,2.0,2418000.0,0.0,0.0,0.0,0.0,2.0,2418000.0,2.0,2418000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
224,0.00062475396690868,45.164415663867864,90.59494191629065,0.3318508235262859,1566.1616330111428,3216.8652611823973,82.07255272840334,0.5847854843047774,0,0,1,0,0,0,1,0,0,0,0,1,0,1928.6,35.6,230.6,231.6,53.4,532.4,680.6,0.0,2038.2,3037.574466512683,0.0006528958947641199,19441.55665847225,1282.576607575688,5214.500784979196,0.5142660698394668,606699,0,188.0,7.0,17.0,4.0,31634271.0,0.0,0.0,4.0,27990910.0,0.0,0.0,6.0,45850910.0,0.0,0.0,0.0,0.0,7.0,49645910.0,4.0,27990910.0,3.0,21655000.0,0.0,0.0,0.0,0.0,0.0,0.0
225,0.00067722724789892,51.917093568357984,89.32337872335486,0.49095954860487634,1584.3746487204487,14590.123632692214,87.70460760091956,0.7042901472782311,0,0,0,0,0,0,1,0,0,0,0,1,0,1090.8,68.4,113.6,124.6,234.6,360.6,380.2,0.0,1156.2,1737.7989655539827,0.00173379678449708,10900.690729375881,142.30750726568326,2042.4498189873484,0.5001168173829541,64416,3,185.0,7.0,15.0,3.0,78786000.0,0.0,0.0,1.0,3472000.0,1.0,67992000.0,1.0,7322000.0,0.0,0.0,0.0,0.0,3.0,78786000.0,1.0,3472000.0,1.0,7322000.0,0.0,0.0,0.0,0.0,1.0,67992000.0
