month,DISTRICT_FINALISED,REVENUE_CIRCLE_FINALISED,Awarded Value
2022_06,BAKSA,Jalah (Pt),8549618.0
2022_06,BARPETA,Barpeta,13499727.0
2022_06,BISWANATH,Biswanath,13499987.0
2022_06,BONGAIGAON,Sidli (Pt-II),8999627.0
2022_06,BONGAIGAON,Srijangram,11913000.0
2022_06,CHIRANG,Bengtal,17999986.0
2022_06,DARRANG,Mangaldoi (Pt),5507523.0
2022_06,DHEMAJI,Dhemaji,75322280.75
2022_06,DIBRUGARH,Chabua,25199811.0
2022_06,DIBRUGARH,Dibrugarh East,44484701.43
2022_06,DIBRUGARH,Dibrugarh West,17999597.0
2022_06,DIBRUGARH,Tingkhong,23399870.0
2022_06,GOALPARA,Balijana,22499828.0
2022_06,JORHAT,Jorhat West,0.0
2022_06,JORHAT,Teok,19799993.0
2022_06,KAMRUP METRO,Guwahati,16199956.0
2022_06,KOKRAJHAR,Bagribari (Pt),10799799.0
2022_06,KOKRAJHAR,Bhowraguri,15477118.98
2022_06,KOKRAJHAR,Dhubri (Pt),7999274.97
2022_06,KOKRAJHAR,Gossaigaon (Pt),5992355.23
2022_06,KOKRAJHAR,Kokrajhar (Pt),22049396.0
2022_06,SONITPUR,Tezpur,58499774.0
