,Cachar,0,0,0,0,,,,,,,
,Dhemaji,47404,30448,16956,0,,,,,,,
,Dibrugarh,16872,13991,2881,0,,,,,,,
,Goalpara,0,0,0,0,,,,,,,
,Golaghat,13610,8568,5042,0,,,,,,,
,Jorhat,3500,2700,800,0,,,,,,,
,Kamrup,28013,7293,5220,15500,,,,,,,
,Karimganj,0,0,0,0,,,,,,,
,Kokrajhar,0,0,0,0,,,,,,,
,Lakhimpur,16520,11080,5440,0,,,,,,,
,Majuli,16747,5875,1624,9248,,,,,,,
,Sivasagar,6343,3080,1693,1570,,,,,,,
,Sonitpur,0,0,0,0,,,,,,,
,Tinsukia,0,0,0,0,,,,,,,
,Udalguri,0,0,0,0,,,,,,,
,Total,149009,83035,39656,26318,,,,,,,
