District,Total,Big,Small,Poultry
,Barpeta,173331,70629,52079
,Biswanath,9957,7426,2531
,Bongaigaon,0,0,0
,Cachar,0,0,0
,Charaideo,3400,1300,900
,Chirang,0,0,0
,Darrang,108614,58668,35471
,Dhemaji,29132,20101,9031
,Dhubri,121410,73217,48193
,Dibrugarh,19232,10552,8680
,Dima-Hasao,0,0,0
,Goalpara,75566,43299,20520
,Golaghat,10764,6600,4164
,Hailakandi,1371,513,522
,Hojai,0,0,0
,Jorhat,4004,3217,787
,Kamrup,52037,33852,18185
,Kamrup (M),21220,12709,8511
,Karbi Anglong West,0,0,0
,Karimganj,0,0,0
,Kokrajhar,0,0,0
,Lakhimpur,7540,5370,2170
,Majuli,0,0,0
,Morigaon,77469,25192,21797
,Nagaon,48986,28041,13158
,Nalbari,53297,31400,21897
,Sivasagar,49061,35768,9867
,Sonitpur,0,0,0
,South Salmara,119862,73226,46636
,Tinsukia,0,0,0
,Udalguri,0,0,0
,Total,986253,541080,325099
