District,Number,Revenue Circle,Embankment Breached Name,Department,Village,Location,Longitude,Latitude,Remarks
,Dhemaji,0,{'Jonai': 0},Nil,Nil,Nil,Nil,Nil,Nil
,Dibrugarh,0,{'Chabua': 0},Nil,Nil,Nil,Nil,Nil,Nil
,Dima- Hasao,0,{'Haflong': 0},Nil,Nil,Nil,Nil,Nil,Nil
,Golaghat,0,{'Bokakhat': 0},Nil,Nil,Nil,Nil,Nil,Nil
,Hailakandi,0,{'Lala': 0},Nil,Nil,Nil,Nil,Nil,Nil
,Hojai,0,{'Hojai': 0},Nil,Nil,Nil,Nil,Nil,Nil
,Karbi Anglong West,1,{'Donkamokam': 1},Mugasong Ringbund,Water Resource Deptt.,Mugasong (East Rongkhang ),Baligaon Mugasong L.P school,92.76,26.01
,Karimganj,0,{'Patherkandi': 0},Nil,Nil,Nil,Nil,Nil,Nil
,Morigaon,0,{'Morigaon': 0},Nil,Nil,Nil,Nil,Nil,Nil
,Nagaon,0,{'Kampur': 0},Nil,,Nil,Nil,Nil,Nil
,Total,1,,,,,,,
