District,Total,Big,Small,Poultry
,Biswanath,46612,32954,13658
,Bongaigaon,0,0,0
,Cachar,7977,5529,2448
,Charaideo,8850,2250,2100
,Chirang,0,0,0
,Darrang,124424,80446,28293
,Dhemaji,62788,42902,19886
,Dhubri,170414,103498,66916
,Dibrugarh,36106,23485,12621
,Goalpara,109757,65628,29629
,Golaghat,16383,12489,3894
,Hailakandi,1275,607,209
,Hojai,4761,941,390
,Jorhat,21326,14947,6379
,Kamrup,197584,126717,66367
,Kamrup (M),30879,17071,13808
,Karbi Anglong,1945,427,648
,Karbi Anglong West,0,0,0
,Karimganj,0,0,0
,Kokrajhar,7335,4770,2365
,Lakhimpur,40652,24385,16267
,Majuli,65071,37756,10450
,Morigaon,80781,26004,22637
,Nagaon,61088,34343,17478
,Nalbari,26294,17494,8700
,Sivasagar,47375,28008,13008
,Sonitpur,50228,36367,13861
,South Salmara,134433,82725,51708
,Tinsukia,25881,9444,12641
,Udalguri,0,0,0
,Total,1528226,886759,479774
