District,Number,Revenue Circle,Embankment Breached Name,Department,Village,Location,Longitude,Latitude,Remarks
,Baksa,0,{'Jalah': 0},Nil,Nil,Nil,Nil,Nil,Nil
,Barpeta,0,{'Sarthebari': 0},Nil,Nil,Nil,Nil,Nil,Nil
,Biswanath,0,{'Halem': 0},Nil,Nil,Nil,Nil,Nil,Nil
,Bongaigaon,0,{'Srijangram': 0},Nil,Nil,Nil,Nil,Nil,Nil
,Cachar,0,{'Katigorah': 0},Nil,Nil,Nil,Nil,Nil,Nil
,Darrang,0,{'Dalgaon': 0},Nil,Nil,Nil,Nil,Nil,Nil
,Dhubri,0,{'Chapar': 0},Nil,Nil,Nil,Nil,Nil,Nil
,Goalpara,1,{'Lakhipur': 0},Nil,Nil,Nil,Nil,Nil,Nil
,Hailakandi,0,{'Algapur': 0},Nil,Nil,Nil,Nil,Nil,Nil
,Hojai,0,{'Doboka': 0},Nil,Nil,Nil,Nil,Nil,Nil
,Kamrup,0,{'Rangia': 0},Nil,Nil,Nil,Nil,Nil,Nil
,Kamrup (M),0,{'Azara': 0},Nil,Nil,Nil,Nil,Nil,Nil
,Karimganj,0,{'Nilambazar': 0},Nil,Nil,Nil,Nil,Nil,Nil
,Lakhimpur,0,{'Subansiri': 0},Nil,Nil,Nil,Nil,Nil,Nil
,Nagaon,0,{'Raha': 0},Nil,Nil,Nil,Nil,Nil,Nil
,Nalbari,0,{'Banekuchi': 0},Nil,Nil,Nil,Nil,Nil,Nil
,South Salmara,0,{'Mankachar': 0},Nil,Nil,Nil,Nil,Nil,Nil
,Tamulpur,0,{'Tamulpur': 0},Nil,Nil,Nil,Nil,Nil,Nil
,Udalguri,0,{'Khairabari': 0},Nil,Nil,Nil,Nil,Nil,Nil
,Total,1,,,,,,,
