District,Total,Big,Small,Poultry
,Biswanath,7059,4038,3021
,Bongaigaon,0,0,0
,Cachar,0,0,0
,Charaideo,13475,4005,3570
,Chirang,1137,537,600
,Darrang,158523,91844,50394
,Dhemaji,33955,25217,8738
,Dhubri,342447,211689,130758
,Dibrugarh,26096,16753,9343
,Goalpara,84677,49499,23622
,Golaghat,12497,8361,4136
,Hailakandi,4012,700,989
,Hojai,0,0,0
,Jorhat,18555,13989,4566
,Kamrup,137633,90118,47515
,Kamrup (M),28520,13599,14921
,Karimganj,0,0,0
,Kokrajhar,17833,11925,5908
,Lakhimpur,37931,23808,14123
,Majuli,0,0,0
,Morigaon,72259,21342,19637
,Nagaon,65887,40229,18491
,Nalbari,25044,16694,8350
,Sivasagar,94825,52129,22393
,Sonitpur,2000,1500,500
,South Salmara,134433,82725,51708
,Tinsukia,657,218,221
,Udalguri,0,0,0
,Total,1518606,861868,502229
