District,Total,Big,Small,Poultry
,Biswana th,4892,3597,1295
,Bongaig aon,0,0,0
,Cachar,0,0,0
,Charaid eo,7980,2750,1480
,Chirang,0,0,0
,Darrang,157458,91574,50099
,Dhemaji,27938,20036,7902
,Dhubri,282947,173329,10961 8
,Dibrugar h,30254,20012,10242
,Goalpar a,88866,52799,24320
,Golagha t,13273,8697,4576
,Hailakan di,0,0,0
,Hojai,0,0,0
,Jorhat,5767,4230,1537
,Kamrup,134262,87243,47019
,Kamrup (M),33964,17552,16412
,Karbi Anglong West,0,0,0
,Karimga nj,0,0,0
,Kokrajh ar,0,0,0
,Lakhimp ur,27348,18528,8820
,Majuli,807,384,423
,Morigao n,76559,22932,22047
,Nagaon,58286,32567,16102
,Nalbari,25044,16694,8350
,Sivasaga r,47972,35432,8684
,Sonitpur,0,0,0
,South Salmara,134433,82725,51708
,Tinsukia,333,127,109
,Udalguri,0,0,0
,Total,1366829,775773,45120
