District,Number,Revenue Circle,Bridge Name,Department,Village,Location,Longitude,Latitude,Remarks
,Kamrup (M),0,{'Guwahati': 0},Nil,,Nil,Nil,Nil,Nil
,Total,0,,,,,,,
