District,Number,Revenue Circle,Embankment Breached Name,Department,Village,Location,Longitude,Latitude,Remarks
,Dhemaji,0,{'Jonai': 0},Nil,Nil,Nil,Nil,Nil,Nil
,Dibrugarh,0,{'Chabua': 0},Nil,Nil,Nil,Nil,Nil,Nil
,Dima-Hasao,0,{'Haflong': 0},Nil,Nil,Nil,Nil,Nil,Nil
,Golaghat,0,{'Bokakhat': 0},Nil,Nil,Nil,Nil,Nil,Nil
,Hailakandi,0,{'Lala': 0},Nil,Nil,Nil,Nil,Nil,Nil
,Hojai,0,{'Doboka': 0},Nil,Nil,Nil,Nil,Nil,Nil
,Kamrup,0,{'Boko': 0},Nil,Nil,Nil,Nil,Nil,Nil
,Karbi Anglong West,1,{'Donkamoka m': 1},Mugasong LP school Ringbund,Water Resource Deptt.,Mugasong (East Rongkhang ),"Baligaon,Mugaso ng Tumpreng",92.76,25.99
,Karimganj,0,{'Patherkand i': 0},Nil,Nil,Nil,Nil,Nil,Nil
,Morigaon,0,{'Morigaon': 0},Nil,Nil,Nil,Nil,Nil,Nil
,Nagaon,0,{'Kampur': 0},Nil,Nil,Nil,Nil,Nil,Nil
,South Salmara,0,{'Mankachar': 0},Nil,Nil,Nil,Nil,Nil,Nil
,Total,1,,,,,,,
