District,Male,Female,Children,Total Population,Total Crop Area (in Hect.),Population and Crop Area Details
,Biswanat h,1316,1059,16809,19184,14.7
,Bongaiga on,10701,10088,10458,31247,0
,Cachar,60107,61007,56814,177928,0
,Charaide o,23034,19086,14579,56699,603.5
,Chirang,636,673,788,2097,0
,Darrang,76062,33521,7998,117581,1108.5
,Dhemaji,35026,32143,21571,88740,2630.62
,Dhubri,296950,288115,16972 6,754791,2198.46
,Dibrugar h,11730,10261,6302,28293,3290.8
,Goalpara,31938,29800,22259,83997,1635.35
,Golaghat,53638,45570,13114,112322,493
,Hailakan di,2233,1899,842,4974,20
,Hojai,682,542,519,1743,24
,Jorhat,10452,8934,6301,25687,8
,Kamrup,5610,4758,1737,12105,4012.21
,Kamrup (M),13655,9045,3906,26606,20
,Karimga nj,14569,14195,11858,40622,0
,Kokrajha r,11980,8142,12507,32629,19
,Lakhimp ur,38326,29372,8927,76625,732.5
,Majuli,32958,23523,17091,73572,18751.35
,Morigao n,23821,24663,22855,71339,1980
,Nagaon,29460,24327,19315,73102,18858.3
,Nalbari,24260,22680,23300,70240,115
,Sivasagar,21678,18959,11335,51972,705
,Sonitpur,0,0,0,0,140
,South Salmara,32758,34380,33788,100926,585
,Tinsukia,2339,1345,1256,4940,8556
,Udalguri,0,0,0,0,0
,Total,922462,802319,54950,2274289,68432.75
