District,Total,Big,Small,Poultry
,Biswanath,5365,3210,2155
,Bongaigaon,0,0,0
,Cachar,0,0,0
,Charaideo,4300,1700,1100
,Chirang,0,0,0
,Darrang,163458,91574,56099
,Dhemaji,24074,16861,7213
,Dhubri,105334,63926,41408
,Dibrugarh,18740,10661,8079
,Goalpara,75566,43299,20520
,Golaghat,9570,6360,3210
,Hailakandi,8980,2496,2849
,Hojai,0,0,0
,Jorhat,5767,4230,1537
,Kamrup,134256,87243,47013
,Kamrup (M),21220,13511,7709
,Karimganj,0,0,0
,Kokrajhar,0,0,0
,Lakhimpur,5428,3495,1933
,Majuli,11739,6931,4808
,Morigaon,47775,16332,12712
,Nagaon,54287,30605,14615
,Nalbari,53297,31400,21897
,Sivasagar,72581,45929,17972
,Sonitpur,0,0,0
,South Salmara,119862,73226,46636
,Tinsukia,0,0,0
,Udalguri,0,0,0
,Total,1128398,632008,375931
