District,Number,Revenue Circle,Embankment Affected Name,Department,Village,Location,Longitude,Latitude,Remarks
,Charaideo,0,{'Mahmora': 0},Nil,,Nil,Nil,Nil,
,Dhemaji,0,{'Jonai': 0},Nil,,Nil,Nil,Nil,
,Dibrugarh,0,{'Tingkhong': 0},Nil,,Nil,Nil,Nil,
,Golaghat,0,{'Bokakhat': 0},Nil,,Nil,Nil,Nil,
,Sivasagar,0,{'Demow': 0},Nil,,Nil,Nil,Nil,
,Udalguri,0,{'Udalguri': 0},Nil,,Nil,Nil,Nil,
,Total,0,,,,,,,
,District,Revenue,Damages,Number,Name,Department,Village,Location,
,Bongaigaon,Bongaigaon,Nil,Nil,Nil,Nil,Nil,Nil,
,Charaideo,Mahmora,Nil,Nil,Nil,Nil,Nil,Nil,
,Dhemaji,Jonai,Nil,Nil,Nil,Nil,Nil,Nil,
,Dibrugarh,Tingkhong,Nil,Nil,Nil,Nil,Nil,Nil,
