District,Total,Big,Small,Poultry
,Biswanath,23983,15880,8103
,Bongaigao n,0,0,0
,Cachar,7650,4437,3213
,Charaideo,5411,1634,1777
,Chirang,0,0,0
,Darrang,185653,104390,66975
,Dhemaji,73722,51811,21911
,Dhubri,77077,48245,28823
,Dibrugarh,68573,39254,28118
,Goalpara,98628,54445,28583
,Golaghat,16488,10170,6318
,Hailakandi,7090,1632,1619
,Hojai,17560,4425,4070
,Jorhat,26747,18053,8694
,Kamrup,85560,54846,26714
,Kamrup (M),16083,6075,10008
,Karbi Anglong,0,0,0
,Karbi Anglong West,0,0,0
,Karimganj,0,0,0
,Lakhimpur,56402,34246,19144
,Majuli,65071,37756,10450
,Morigaon,65759,18342,18137
,Nagaon,22787,16355,5532
,Nalbari,24248,14398,8700
,Sivasagar,52120,37579,10279
,Sonitpur,36811,25946,10865
,South Salmara,17030,8250,8780
,Tamulpur,0,0,0
,Tinsukia,25168,10442,11013
,Udalguri,0,0,0
,Total,1120165,635318,363663
