District,Total,Big,Small,Poultry
,Baksa,2950,1309,1641
,Barpeta,21013,10250,7542
,Biswanath,0,0,0
,Bongaigaon,0,0,0
,Cachar,0,0,0
,Darrang,29439,12896,12133
,Dhubri,515,320,195
,Goalpara,31911,16557,8444
,Hailakandi,1192,212,310
,Hojai,1658,232,424
,Kamrup,17715,10914,6801
,Kamrup (M),3000,2000,1000
,Karimganj,161292,69450,59478
,Lakhimpur,0,0,0
,Nagaon,11261,7854,3407
,Nalbari,50417,24807,22210
,South Salmara,1686,962,724
,Tamulpur,47189,26705,20484
,Udalguri,1574,328,570
,Total,421710,203482,161534
