District,Male,Female,Children,Total Population,Total Crop Area (in Hect.),Population and Crop Area Details
,Golaghat,2695,2293,858,5846,1194.6
,Kamrup (M),0,0,0,0,0
,Sivasagar,69,58,36,163,93
,Udalguri,0,0,0,0,0
,Total,2814,2395,939,6148,1289.6
