District,Male,Female,Children,Total Population,Total Crop Area (in Hect.),Population and Crop Area Details
,Goalpara,0,0,0,0,0
,Golaghat,2566,2211,760,5537,1015.7
,Sivasagar,78,64,40,182,93
,Total,2694,2319,845,5858,1110.7
