District,Total,Big,Small,Poultry
,Biswanath,39684,28413,11271
,Cachar,0,0,0
,Darrang,2289,1424,865
,Dhemaji,70471,48965,20167
,Dibrugarh,43516,28795,13520
,Golaghat,39144,21538,17606
,Jorhat,20850,13806,7044
,Kamrup,29070,8106,5464
,Karimganj,0,0,0
,Kokrajhar,0,0,0
,Lakhimpur,48404,30626,13679
,Majuli,87702,48848,13024
,Morigaon,38375,6512,11332
,Nagaon,3398,2345,741
,Nalbari,280,150,80
,Sivasagar,25648,18484,6964
,Sonitpur,0,0,0
,Tamulpur,266,179,87
,Tinsukia,36508,13870,18028
,Udalguri,131,58,73
,Total,485736,272119,139945
