District,Male,Female,Children,Total Population,Total Crop Area (in Hect.),Population and Crop Area Details
,Goalpara,364,,356,360,1080
,Golaghat,4113,,3416,1386,8915
,Nagaon,0,,0,0,0
,Sivasagar,109,,93,55,257
,Total,4636,,3909,1846,10391
