District,Number,Revenue Circle,Embankment Breached Name,Department,Village,Location,Longitude,Latitude,Remarks
,Dhemaji,0,{'Gogamukh': 0},Nil,Nil,Nil,Nil,Nil,Nil
,Dibrugarh,0,{'Chabua': 0},Nil,Nil,Nil,Nil,Nil,Nil
,Goalpara,0,{'Lakhipur': 0},Nil,Nil,Nil,Nil,Nil,Nil
,Golaghat,0,{'Khumtai': 0},Nil,Nil,Nil,Nil,Nil,Nil
,Jorhat,0,{'Jorhat East': 0},Nil,Nil,Nil,Nil,Nil,Nil
,Kamrup,0,{'North Ghy': 0},Nil,Nil,Nil,Nil,Nil,Nil
,Karimganj,0,{'Nilambazar': 0},Nil,Nil,Nil,Nil,Nil,Nil
,Kokrajhar,0,{'Gossaigaon': 0},Nil,Nil,Nil,Nil,Nil,Nil
,Lakhimpur,0,{'Kadam': 0},Nil,Nil,Nil,Nil,Nil,Nil
,Majuli,0,{'Majuli': 0},Nil,Nil,Nil,Nil,Nil,Nil
,Sivasagar,0,{'Sivsagar': 0},Nil,Nil,Nil,Nil,Nil,Nil
,Sonitpur,1,{'Chariduar': 1},Bor amloga,P&RD,Amloga Pathar,Amloga pathar,92.76,26.88
,Tinsukia,0,{'Margherita': 0},Nil,Nil,Nil,Nil,Nil,Nil
,Udalguri,1,{'Khairabari': 0},Nil,Nil,Nil,Nil,Nil,Nil
,Total,2,,,,,,,
