District,Number,Revenue Circle,Embankment Affected Name,Department,Village,Location,Longitude,Latitude,Remarks
,Dhemaji,0,{'Sissiborgaon': 0},Nil,,Nil,Nil,Nil,
,Dhubri,0,{'Chapar': 0},Nil,,Nil,Nil,Nil,
,Dibrugarh,0,{'Moran': 0},Nil,,Nil,Nil,Nil,
,Goalpara,0,{'Balijana': 0},Nil,,Nil,Nil,Nil,
,Golaghat,0,{'Khumtai': 0},Nil,,Nil,Nil,Nil,
,Hailakandi,0,{'Algapur': 0},Nil,,Nil,Nil,Nil,
,Jorhat,0,{'Teok': 0},Nil,,Nil,Nil,Nil,
,Karimganj,0,{'Nilambazar': 0},Nil,,Nil,Nil,Nil,
,Nagaon,0,{'Samaguri': 0},Nil,,Nil,Nil,Nil,
,Sivasagar,0,{'Demow': 0},Nil,,Nil,Nil,Nil,
,Total,0,,,,,,,
