District,Male,Female,Children,Total Population,Total Crop Area (in Hect.),Population and Crop Area Details
,Baksa,723,687,425,1835,18
,Barpeta,5932,4921,3328,14181,61
,Biswanath,45,25,15,85,34
,Bongaigaon,0,0,0,0,392.6
,Cachar,5578,4890,730,11198,0
,Darrang,25862,24382,11145,61389,732.71
,Dhubri,95,65,45,205,0
,Goalpara,2685,2569,1985,7239,200
,Hailakandi,83,105,163,351,0
,Hojai,959,612,383,1954,239
,Kamrup,79,52,37,168,946.55
,Kamrup (M),0,0,0,0,0
,Karimganj,103270,81940,55267,240477,0
,Lakhimpur,0,0,0,0,0
,Nagaon,3674,3000,3469,10143,1400
,Nalbari,3039,2340,1182,6561,56.5
,South Salmara,30,32,39,101,10.5
,Tamulpur,8376,7932,7093,23401,0
,Udalguri,546,591,89,1226,117
,Total,166194,138523,85774,390491,4347.86
