District,Total,Big,Small,Poultry
,Barpeta,172726,70591,51254
,Biswanath,9069,5224,3845
,Bongaigao n,3195,1465,1730
,Cachar,0,0,0
,Charaideo,40234,12734,11328
,Chirang,0,0,0
,Darrang,137633,74768,47889
,Dhemaji,41472,29295,12177
,Dhubri,282348,170419,111929
,Dibrugarh,31759,21431,10328
,Goalpara,81489,46985,22504
,Golaghat,14306,9081,5225
,Hailakandi,1879,289,136
,Hojai,0,0,0
,Jorhat,21326,12382,8944
,Kamrup,150487,96532,53455
,Kamrup (M),32666,16641,16025
,Karbi Anglong,1945,427,648
,Karimganj,0,0,0
,Kokrajhar,7335,4770,2365
,Lakhimpur,43596,25686,17910
,Majuli,41299,26766,6313
,Morigaon,80596,24254,21477
,Nagaon,66084,40258,18559
,Nalbari,26294,17494,8700
,Sivasagar,83341,41316,21602
,Sonitpur,41638,28977,12661
,South Salmara,134433,82725,51708
,Tamulpur,0,0,0
,Tinsukia,2011,798,707
,Udalguri,0,0,0
,Total,1549161,861308,519419
