District,Number,Revenue Circle,Embankment Affected Name,Department,Village,Location,Longitude,Latitude,Remarks
,Dhemaji,0,{'Jonai': 0},Nil,,Nil,Nil,Nil,
,Golaghat,0,{'Khumtai': 0},Nil,,Nil,Nil,Nil,
,Nagaon,0,{'Samaguri': 0},Nil,,Nil,Nil,Nil,
,Sivasagar,0,{'Sivsagar': 0},Nil,,Nil,Nil,Nil,
,Total,0,,,,,,,
,District,Revenue,Damages,Number,Name,Department,Village,Location,
,Barpeta,Barpeta,Nil,Nil,Nil,Nil,Nil,Nil,
,Dhemaji,Jonai,Nil,Nil,Nil,Nil,Nil,Nil,
,Nagaon,Samaguri,Nil,Nil,Nil,Nil,Nil,Nil,Nil
,Sivasagar,Sivsagar,Nil,Nil,Nil,Nil,Nil,Nil,Nil
