District,Total,Flood Death,General Drowning (Non Flood),Male,Female,Children Male,Children Female,Others,Revenue Circlewise
,Kamrup (M),0,0,0,0,0,0,"{'Guwahati': 0, 'Dispur': 0, 'Azara': 0}",
,Kokrajhar,0,0,0,0,0,0,{'Kokrajhar': 0},
,Total,0,0,0,0,0,0,,
