District,Number,Revenue Circle,Road Name,Department,Village,Location,Longitude,Latitude,Remarks
,Biswanath,4,{'Naduar RC part': 0},Nil,Nil,Nil,Nil,Nil,Nil
,Cachar,0,{'Silchar': 0},Nil,Nil,Nil,Nil,Nil,Nil
,Darrang,0,{'Pub- Mangaldai': 0},Nil,Nil,Nil,Nil,Nil,Nil
,Dhemaji,9,{'Dhemaji': 1},MRL05-No.2 Deogharia to Shantipur Majgaon dated 01-07-2024,PWD (Roads),No. 2 Deogharia,"B. Location of Road 1) Ch.1050.00 m to Ch.1085.00 m Latitude 27.562016, Longitudev 94.539035 2) Ch.1200.00 m to Ch.1240.00 m Latitude 27.561950, Longitude 94.541207 3) Ch.12572.00 m to Ch.12972.00 m Latitude 27.565327, Longitude 94.571615",94.54,27.56
,Dibrugarh,0,{'Moran': 0},Nil,Nil,Nil,Nil,Nil,Nil
,Golaghat,4,{'Khumtai': 0},Nil,Nil,Nil,Nil,Nil,Nil
,Jorhat,0,{'Jorhat West': 0},Nil,Nil,Nil,Nil,Nil,Nil
,Kamrup,0,{'Kamalpur': 0},Nil,Nil,Nil,Nil,Nil,Nil
,Karimganj,4,{'Karimganj': 0},Nil,Nil,Nil,Nil,Nil,Nil
,Kokrajhar,1,{'Bhawraguri': 1},JAYPUR TO MADHYA KUMGURI LPS ROAD,PWD (Roads),Kumguri,CH- 110.00M,90.07,26.38
,Lakhimpur,8,{'Subansiri': 2},Kaligaon to Napam Kaligaon Road,PWD (Roads),N.C. Medak,Kaligaon to Napam Kaligaon Road,,
,Majuli,7,{'Majuli': 6},TAMULOGHULI TO CHANONG GAON,PWD (Roads),Ligiramukh Chanong NC,Ligiramukh Chanong gaon,94.18,27.05
,Morigaon,0,{'Bhuragaon': 0},Nil,Nil,Nil,Nil,Nil,Nil
,Nagaon,0,{'Kaliabor': 0},Nil,Nil,Nil,Nil,Nil,Nil
,Nalbari,1,{'Tihu': 1},PWD Road ( Bali Kali Mandir to Jowarddi Medical via Kalita Suburi),PWD (Roads),Bali,Bali (Dakhin),,
,Sivasagar,0,{'Nazira': 0},Nil,Nil,Nil,Nil,Nil,Nil
,Sonitpur,1,{'Thelamara': 0},Nil,Nil,Nil,Nil,Nil,Nil
,Tamulpur,0,{'Tamulpur': 0},Nil,Nil,Nil,Nil,Nil,Nil
,Tinsukia,3,{'Margherita': 0},Nil,Nil,Nil,Nil,Nil,Nil
,Udalguri,1,{'Khairabari': 0},Nil,Nil,Nil,Nil,Nil,Nil
,Total,44,,,,,,,
