District,Number,Revenue Circle,Embankment Affected Name,Department,Village,Location,Longitude,Latitude,Remarks
,Dhemaji,0,{'Sissiborgaon': 0},Nil,,Nil,Nil,Nil,
,Dibrugarh,0,{'Dibrugarh West': 0},Nil,,Nil,Nil,Nil,
,Golaghat,0,{'Golaghat': 0},Nil,,Nil,Nil,Nil,
,Karimganj,0,{'Nilambazar': 0},Nil,,Nil,Nil,Nil,
,Nagaon,0,{'Kaliabor': 0},Nil,,Nil,Nil,Nil,
,Sivasagar,0,{'Demow': 0},Nil,,Nil,Nil,Nil,
,Total,0,,,,,,,
,District,Revenue,Damages,Number,Name,Department,Village,Location,
,Cachar,Katigorah,Nil,Nil,Nil,Nil,Nil,Nil,
,Dhemaji,Sissiborgaon,Nil,Nil,Nil,Nil,Nil,Nil,
,Dibrugarh,Dibrugarh West,Nil,Nil,Nil,Nil,Nil,Nil,
,Golaghat,Golaghat,Nil,Nil,Nil,Nil,Nil,Nil,
,Karimganj,Nilambazar,Nil,Nil,Nil,Nil,Nil,Nil,
,Nagaon,Kaliabor,Nil,Nil,Nil,Nil,Nil,Nil,
,Sivasagar,Demow,Nil,Nil,Nil,Nil,Nil,Nil,
