District,Total,Big,Small,Poultry
,Baksa,4045,1944,2011
,Barpeta,27555,12257,10237
,Biswanath,440,325,115
,Bongaigaon,0,0,0
,Cachar,0,0,0
,Darrang,22893,10725,9748
,Goalpara,26571,12472,7189
,Hailakandi,1829,674,171
,Hojai,23000,6790,5350
,Kamrup,13652,8086,5566
,Kamrup (M),3000,2000,1000
,Karbi Anglong West,0,0,0
,Karimganj,81924,31169,18391
,Kokrajhar,0,0,0
,Lakhimpur,0,0,0
,Nagaon,6261,4820,1441
,Nalbari,55244,27293,24551
,Sonitpur,0,0,0
,South Salmara,2462,1212,1250
,Tamulpur,47272,26643,20629
,Udalguri,4845,2180,1830
,Total,354393,165451,122154
