District,Number,Revenue Circle,Bridge Name,Department,Village,Location,Longitude,Latitude,Remarks
,Kamrup,0,{'North Ghy': 0},Nil,,Nil,Nil,Nil,
,Kamrup (M),0,{'Dispur': 0},Nil,,Nil,Nil,Nil,
,Total,0,,,,,,,
