District,Number,Revenue Circle,Road Name,Department,Village,Location,Longitude,Latitude,Remarks
,Dibrugarh,0,{'Dibrugarh East': 0},Nil,,Nil,Nil,Nil,Nil
,Total,1,,,,,,,
