District,Male,Female,Children,Total Population,Total Crop Area (in Hect.),Population and Crop Area Details
,Golaghat,4301,3472,1525,9298,332
,Jorhat,0,0,0,0,0
,Nagaon,6403,3953,1538,11894,2334.5
,Sivasagar,352,317,193,862,253
,Total,11537,8219,3445,23201,2941.5
