District,Male,Female,Children,Total Population,Total Crop Area (in Hect.),Population and Crop Area Details
,Baksa,1554,1636,960,4150,66
,Barpeta,7318,6402,4390,18110,79.75
,Biswanath,275,198,103,576,54
,Bongaigaon,0,0,0,0,132
,Cachar,5200,4930,1030,11160,0
,Darrang,24101,21812,7467,53380,792.7
,Goalpara,2694,2580,1993,7267,199
,Hailakandi,175,138,217,530,0
,Hojai,1704,1138,663,3505,322
,Kamrup,39,54,15,108,451.8
,Kamrup (M),0,0,0,0,0
,Karbi Anglong West,0,0,0,0,34
,Karimganj,108628,86726,59268,254622,1221.5
,Kokrajhar,504,500,0,1004,146.57
,Lakhimpur,700,330,39,1069,131
,Nagaon,3994,3736,4017,11747,1298
,Nalbari,3128,2478,1236,6842,151.9
,Sonitpur,46,24,16,86,0
,South Salmara,32,37,43,112,424
,Tamulpur,8101,8012,7073,23186,509.91
,Udalguri,910,937,216,2063,202
,Total,174177,145879,89300,409356,6424.83
