District,Male,Female,Children,Total Population,Total Crop Area (in Hect.),Population and Crop Area Details
,Cachar,2134,2265,2374,6773,0
,Charaideo,0,0,0,0,0
,Dhemaji,1375,1188,769,3332,62
,Dhubri,0,0,0,0,0
,Dibrugarh,245,212,111,568,325
,Goalpara,97,198,176,471,0
,Golaghat,5784,5342,1195,12321,118
,Hailakandi,0,0,0,0,0
,Jorhat,0,0,0,0,11
,Kamrup,0,0,0,0,40
,Kamrup (M),250,150,0,400,0
,Karimganj,0,0,0,0,0
,Morigaon,0,0,0,0,1052
,Nagaon,28577,23763,17940,70280,3898.5
,Sivasagar,578,530,301,1409,961
,Sonitpur,0,0,0,0,0
,Udalguri,0,0,0,0,0
,Total,39040,33648,22866,95554,6467.5
