District,Male,Female,Children,Total Population,Total Crop Area (in Hect.),Population and Crop Area Details
,Dima- Hasao,0,0,0,0,0
,Hojai,89,35,21,145,16
,Karimganj,3246,1655,756,5657,0
,Morigaon,122,117,63,302,0
,Nagaon,638,533,287,1458,855
,Total,10665,9265,3017,22947,871
