District,Number,Revenue Circle,Embankment Affected Name,Department,Village,Location,Longitude,Latitude,Remarks
,Cachar,0,{'Katigorah': 0},Nil,Nil,Nil,Nil,Nil,Nil
,Chirang,0,{'Sidli': 0},Nil,Nil,Nil,Nil,Nil,Nil
,Darrang,0,{'Patharighat': 0},Nil,Nil,Nil,Nil,Nil,Nil
,Dhemaji,0,{'Jonai': 0},Nil,Nil,Nil,Nil,Nil,Nil
,Dhubri,0,{'Chapar': 0},Nil,,Nil,Nil,Nil,Nil
,Goalpara,0,{'Lakhipur': 0},Nil,,Nil,Nil,Nil,Nil
,Golaghat,0,{'Golaghat': 0},Nil,,Nil,Nil,Nil,Nil
,Hailakandi,0,{'Algapur': 0},Nil,,Nil,Nil,Nil,Nil
,Kamrup,0,{'Kamalpur': 0},Nil,,Nil,Nil,Nil,Nil
,Karbi Anglong West,0,{'Donkamokam': 0},Nil,,Nil,Nil,Nil,Nil
,Karimganj,0,{'Karimganj': 0},Nil,,Nil,Nil,Nil,Nil
,Kokrajhar,0,{'Bagribari': 0},Nil,,Nil,Nil,Nil,Nil
,Lakhimpur,0,{'North Lakhimpur': 0},Nil,,Nil,Nil,Nil,Nil
,Nagaon,0,{'Raha': 0},Nil,,Nil,Nil,Nil,Nil
,Udalguri,0,{'Khairabari': 0},Nil,,Nil,Nil,Nil,Nil
,Total,0,,,,,,,
