District,Male,Female,Children,Total Population,Total Crop Area (in Hect.),Population and Crop Area Details
,Barpeta,58761,42358,30127,131246,1482.23
,Biswanath,1440,1111,1096,3647,82.4
,Bongaigao n,17900,17228,11493,46621,0
,Cachar,59019,59902,56310,175231,0
,Charaideo,19070,15892,12058,47020,244.56
,Chirang,424,460,433,1317,0
,Darrang,81765,70549,10904,163218,1609
,Dhemaji,34452,31887,21313,87652,2480.62
,Dhubri,323107,304347,170464,797918,2188.22
,Dibrugarh,12739,12112,7172,32023,3135.8
,Goalpara,35926,33886,25947,95759,1530
,Golaghat,52438,44748,12284,109470,495.26
,Hailakandi,2406,1977,699,5082,0
,Hojai,1965,1567,838,4370,62
,Jorhat,12415,10853,7766,31034,8
,Kamrup,6024,5166,1993,13183,3555.21
,Kamrup (M),13805,9185,3953,26943,20
,Karbi Anglong,463,472,603,1538,3.6
,Karimganj,21596,18695,15318,55609,0
,Kokrajhar,2716,1952,692,5360,0
,Lakhimpur,37258,28433,7251,72942,1000.6
,Majuli,32958,23523,17091,73572,18592.2
,Morigaon,25315,25635,24189,75139,1980
,Nagaon,27392,22612,17749,67753,17690.9
,Nalbari,36391,34022,34959,105372,325
,Sivasagar,22414,19833,11603,53850,718
,Sonitpur,1561,1568,584,3713,205.8
,South Salmara,32758,34380,33788,100926,585
,Tamulpur,0,0,0,0,0
,Tinsukia,3925,2927,2288,9140,10774.1
,Udalguri,0,0,0,0,0
,Total,978403,877280,540965,2396648,68768.5
