District,Total,Big,Small,Poultry
,Biswanath,22445,8104,3921
,Bongaigao n,23193,13066,10127
,Cachar,0,0,0
,Charaideo,2,0,2
,Darrang,124624,80646,28293
,Dhemaji,50622,34460,16162
,Dhubri,257022,158454,98568
,Dibrugarh,48591,29915,18676
,Goalpara,94399,51150,28749
,Golaghat,18446,11446,7000
,Hailakandi,2351,400,763
,Hojai,3802,957,824
,Jorhat,17517,13235,4282
,Kamrup,167547,107254,56293
,Kamrup (M),22898,12250,10648
,Karbi Anglong,1945,427,648
,Karbi Anglong West,0,0,0
,Karimganj,0,0,0
,Kokrajhar,0,0,0
,Lakhimpur,16653,8138,5802
,Majuli,65071,37756,10450
,Morigaon,65759,18342,18137
,Nagaon,32082,21877,8510
,Nalbari,26294,17494,8700
,Sivasagar,57021,25437,14932
,Sonitpur,41979,30410,11569
,South Salmara,134433,82725,51708
,Tinsukia,8591,3530,1705
,Udalguri,0,0,0
,Total,1459806,824486,460753
,District,Total,Big,Small
