0,1,2,3,4,5,6,7,8,9,10,11,12,13
Assam Flood Report as on 11-08-2024,,,,,,,,,,,,,
Particulars,Assam Flood Report as on 11-08-2024,,,,,,,,,,,,
"Rivers
flowing
above
Danger Level
(as per CWC
bulletin
issued at 8
AM)",Rivers flowing above danger level,,,,,"Dhansiri (S) (Numaligarh), Kushiyara (Karimganj)",,,,,,,
,Rivers flowing above highest flood level,,,,,Nil,,,,,,,
"District
Affected",No. of,Name of Affected Districts,,,,,,,,,,,
,Districts,,,,,,,,,,,,
,Affected,,,,,,,,,,,,
,5,"Dhemaji, Charaideo, Dibrugarh, Golaghat, Sivasagar",,,,,,,,,,,
"No. Of
Revenue
Circles
Affected",18,,,,,,,,,,,,
"Name Of
Revenue
Circle
Affected",District,Total,Revenue Circle,,,,,,,,,,
,"Charaide
o",3,"Sapekhati, Mahmora, Sonari",,,,,,,,,,
,Dhemaji,3,"Sissiborgaon, Dhemaji, Jonai",,,,,,,,,,
,Dibrugarh,3,"Tengakhat, Tingkhong, Naharkatia",,,,,,,,,,
,Golaghat,6,"Sarupathar, Khumtai, Golaghat, Morongi, Dergaon, Bokakhat",,,,,,,,,,
,Sivasagar,3,"Demow, Nazira, Sivsagar",,,,,,,,,,
,Total,18,,,,,,,,,,,
"Villages
Affected",District,Total,Revenue Circle,,,,,,,,,,
,Dhemaji,7,"(Sissiborgaon | 5), (Dhemaji | 1), (Jonai | 1)",,,,,,,,,,
,"Charaide
o",11,"(Sapekhati | 3), (Mahmora | 7), (Sonari | 1)",,,,,,,,,,
,Dibrugarh,46,"(Tengakhat | 2), (Tingkhong | 25), (Naharkatia | 19)",,,,,,,,,,
,Golaghat,70,"(Sarupathar | 2), (Khumtai | 11), (Golaghat | 8), (Morongi | 22), (Dergaon | 14), (Bokakhat | 13)",,,,,,,,,,
,Sivasagar,11,"(Demow | 6), (Nazira | 2), (Sivsagar | 3)",,,,,,,,,,
,Total,145,,,,,,,,,,,
"Population
And Crop
Area
Affected",District,Male,Female,Children,Total,Total Crop Area (in Hect.),,Population and Crop Area Details,,,,,
,,,,,Population,,,,,,,,
,"Charaide
o",223,247,142,612,26.5,,"(Sapekhati | Population Affected: 74 | Crop Area: 0),
(Mahmora | Population Affected: 538 | Crop Area: 0),
(Sonari | Population Affected: 0 | Crop Area: 26.5)",,,,,
