0,1,2,3,4,5,6,7,8,9,10,11,12,13
Assam Flood Report as on 14-07-2024,,,,,,,,,,,,,
Particulars,Assam Flood Report as on 14-07-2024,,,,,,,,,,,,
"Rivers
flowing
above Danger
Level (as per
CWC bulletin
issued at 8
AM)",Rivers flowing above danger level,,,"Brahmaputra (Neamatighat), Brahmaputra (Tezpur), Brahmaputra (Dhubri), Burhidihing
(Chenimari(Khowang)), Disang (Nanglamuraghat)",,,,,,,,,
,Rivers flowing above highest flood level,,,Nil,,,,,,,,,
"District
Affected",No. of,Name of Affected Districts,,,,,,,,,,,
,Districts,,,,,,,,,,,,
,Affected,,,,,,,,,,,,
,18,"Cachar, Nalbari, Kamrup, Golaghat, Morigaon, Chirang, Dibrugarh, Dhubri, Goalpara, Nagaon, Karimganj, Kamrup (M), Dhemaji, Majuli, Darrang,
Sivasagar, Jorhat, Biswanath",,,,,,,,,,,
"No. Of
Revenue
Circles
Affected",52,,,,,,,,,,,,
"Name Of
Revenue
Circle
Affected",District,Total,Revenue Circle,,,,,,,,,,
,,,,,,,,,,,,,
,Biswanath,1,Halem,,,,,,,,,,
,Cachar,3,"Silchar, Katigorah, Sonai",,,,,,,,,,
,Chirang,1,Bijni,,,,,,,,,,
,Darrang,2,"Dalgaon, Pub-Mangaldai",,,,,,,,,,
,Dhemaji,3,"Sissiborgaon, Jonai, Dhemaji",,,,,,,,,,
,Dhubri,3,"South Salmara Part, Athani, Dhubri",,,,,,,,,,
,Dibrugarh,4,"Tingkhong, Dibrugarh West, Moran, Tengakhat",,,,,,,,,,
,Goalpara,2,"Lakhipur, Balijana",,,,,,,,,,
,Golaghat,3,"Khumtai, Bokakhat, Dergaon",,,,,,,,,,
,Jorhat,3,"Jorhat West, Jorhat East, Teok",,,,,,,,,,
,Kamrup,8,"Palashbari, Rangia, Kamalpur, Chamaria, North Ghy, Goroimari, Nagarbera, Hajo",,,,,,,,,,
,"Kamrup
(M)",2,"Sonapur, Chandrapur",,,,,,,,,,
,Karimganj,3,"Karimganj, Nilambazar, Badarpur",,,,,,,,,,
,Majuli,2,"Ujani Majuli, Majuli",,,,,,,,,,
,Morigaon,4,"Morigaon, Mayong, Laharighat, Bhuragaon",,,,,,,,,,
,Nagaon,4,"Nagaon, Samaguri, Kaliabor, Raha",,,,,,,,,,
,Nalbari,1,Barkhetri,,,,,,,,,,
,Sivasagar,3,"Sivsagar, Demow, Nazira",,,,,,,,,,
,Total,52,,,,,,,,,,,
"Villages
Affected",District,Total,Revenue Circle,,,,,,,,,,
,,,,,,,,,,,,,
,Cachar,79,,,,,,,,,,,
,Nalbari,57,,,,,,,,,,,
,Kamrup,184,,,,,,,,,,,
,Golaghat,54,,,,,,,,,,,
,Morigaon,235,,,,,,,,,,,
,Chirang,1,,,,,,,,,,,
,Dibrugarh,54,,,,,,,,,,,
,Dhubri,84,,,,,,,,,,,
,Goalpara,117,,,,,,,,,,,
,Nagaon,142,,,,,,,,,,,
,Karimganj,12,,,,,,,,,,,
,"Kamrup
(M)",17,,,,,,,,,,,
,Dhemaji,110,,,,,,,,,,,
,Majuli,30,,,,,,,,,,,
,Darrang,22,,,,,,,,,,,
,Sivasagar,132,,,,,,,,,,,
,Jorhat,5,,,,,,,,,,,
,Biswanath,7,,,,,,,,,,,
,Total,1342,,,,,,,,,,,
District,Male,Female,Children,Total,Total Crop Area (in Hect.),Population and Crop Area Details,,,,,,,
,,,,Population,,,,,,,,,
,,,,,,,,,,,,,
Barpeta,0,0,0,0,0,,,,,,,,
Biswanath,0,0,0,0,14,,,,,,,,
Cachar,40050,40360,35490,115900,0,,,,,,,,
Charaideo,0,0,0,0,0,,,,,,,,
Chirang,24,40,28,92,0,,,,,,,,
Darrang,21750,2909,1400,26059,25,,,,,,,,
Dhemaji,21855,21107,11615,54577,865.25,,,,,,,,
Dhubri,30295,26970,24232,81497,640.6,,,,,,,,
Dibrugarh,5017,3790,1961,10768,2219,,,,,,,,
Goalpara,18773,17771,22384,58928,0,,,,,,,,
Golaghat,24732,21644,4590,50966,338,,,,,,,,
Hailakandi,0,0,0,0,0,,,,,,,,
Hojai,0,0,0,0,0,,,,,,,,
Jorhat,432,376,224,1032,0,,,,,,,,
Kamrup,165,208,37,410,2708.71,,,,,,,,
"Kamrup
(M)",8700,6290,1010,16000,0,,,,,,,,
Karimganj,4134,2473,2518,9125,367.55,,,,,,,,
Majuli,7130,5164,3288,15582,0,,,,,,,,
Morigaon,3438,3487,2587,9512,1640,,,,,,,,
