0,1,2,3,4,5,6,7,8,9,10,11,12
Assam Flood Report as on 13-07-2024,,,,,,,,,,,,
,,,,,,,,,,,,
Particulars,Assam Flood Report as on 13-07-2024,,,,,,,,,,,
,,,,,,,,,,,,
"Rivers
flowing
above
Danger
Level (as
per CWC
bulletin
issued at 8
AM)",Rivers flowing above danger level,,,"Brahmaputra (Neamatighat), Brahmaputra (Tezpur), Brahmaputra (Dhubri), Burhidihing
(Chenimari(Khowang)), Disang (Nanglamuraghat), Kushiyara (Karimganj)",,,,,,,,
,Rivers flowing above highest flood level,,,Nil,,,,,,,,
"District
Affected",No. of,Name of Affected Districts,,,,,,,,,,
,Districts,,,,,,,,,,,
,Affected,,,,,,,,,,,
,21,"Cachar, Nalbari, Kamrup, Golaghat, Goalpara, Morigaon, Dibrugarh, Dhubri, Nagaon, Hailakandi, Dhemaji, Majuli, Sivasagar, South
Salmara, Darrang, Karimganj, Barpeta, Kamrup (M), Biswanath, Chirang, Jorhat",,,,,,,,,,
"No. Of
Revenue
Circles
Affected",65,,,,,,,,,,,
,District,Total,Revenue Circle,,,,,,,,,
,,,,,,,,,,,,
,Barpeta,3,"Chenga, Kalgachia, Baghbar",,,,,,,,,
,"Biswanat
h",1,Halem,,,,,,,,,
,Cachar,3,"Sonai, Katigorah, Silchar",,,,,,,,,
,Chirang,1,Bijni,,,,,,,,,
,Darrang,3,"Pub-Mangaldai, Mangaldoi, Dalgaon",,,,,,,,,
,Dhemaji,4,"Dhemaji, Sissiborgaon, Jonai, Gogamukh",,,,,,,,,
,Dhubri,5,"Dhubri, Gauripur, Chapar, South Salmara Part, Athani",,,,,,,,,
,Dibrugarh,5,"Tingkhong, Dibrugarh West, Naharkatia, Moran, Tengakhat",,,,,,,,,
,Goalpara,3,"Matia, Lakhipur, Balijana",,,,,,,,,
,Golaghat,3,"Khumtai, Bokakhat, Dergaon",,,,,,,,,
,"Hailakand
i",1,Algapur,,,,,,,,,
,Jorhat,3,"Jorhat East, Jorhat West, Teok",,,,,,,,,
,Kamrup,8,"Rangia, Kamalpur, Goroimari, Palashbari, Chamaria, Hajo, North Ghy, Nagarbera",,,,,,,,,
,"Kamrup
(M)",2,"Chandrapur, Sonapur",,,,,,,,,
,Karimganj,3,"Nilambazar, Karimganj, Badarpur",,,,,,,,,
,Majuli,2,"Ujani Majuli, Majuli",,,,,,,,,
,Morigaon,4,"Mayong, Morigaon, Laharighat, Bhuragaon",,,,,,,,,
,Nagaon,5,"Samaguri, Nagaon, Dhing, Kaliabor, Raha",,,,,,,,,
,Nalbari,1,Barkhetri,,,,,,,,,
,Sivasagar,3,"Demow, Nazira, Sivsagar",,,,,,,,,
,"South
Salmara",2,"South Salmara, Mankachar",,,,,,,,,
,Total,65,,,,,,,,,,
,,,,,,,,,,,,
"Villages
Affected",District,Total,Revenue Circle,,,,,,,,,
,,,,,,,,,,,,
,Cachar,111,,,,,,,,,,
,Nalbari,62,,,,,,,,,,
,Kamrup,200,,,,,,,,,,
,Golaghat,73,,,,,,,,,,
,Goalpara,182,,,,,,,,,,
,Morigaon,244,,,,,,,,,,
,Dibrugarh,64,,,,,,,,,,
,Dhubri,125,,,,,,,,,,
,Nagaon,162,,,,,,,,,,
