0,1,2,3,4,5,6,7,8,9,10,11,12,13
,Dibrugarh,0,0,0,0,0,0,0,0,"0 (Tingkhong | 0), (Moran | 0),
(Naharkatia | 0)",,,
,Sivasagar,0,0,0,0,0,0,0,0,"0 (Demow | 0), (Nazira | 0), (Sivsagar
| 0)",,,
,Charaideo,0,0,0,0,0,0,0,0,"0 (Sonari | 0), (Mahmora | 0)",,,
,Goalpara,0,0,0,0,0,0,0,0,0 (Lakhipur | 0),,,
,Darrang,0,0,0,0,0,0,0,0,0 (Mangaldoi | 0),,,
,Udalguri,0,0,0,0,0,0,0,0,0 (Udalguri | 0),,,
,Golaghat,0,0,0,0,0,0,0,0,"0 (Khumtai | 0), (Bokakhat | 0)",,,
,Dhemaji,0,0,0,0,0,0,0,0,0 (Jonai | 0),,,
,Total,0,0,0,0,0,0,0,0,,,,
"Human Lives
Lost - Missing",District,Total,Male,Female,Children,,Others,Revenue Circlewise,,,,,
,,,,,Male,Female,,,,,,,
,Dibrugarh,0,0,0,0,0,0,"0 (Tingkhong | 0), (Moran | 0), (Naharkatia | 0)",,,,,
,Sivasagar,0,0,0,0,0,0,"0 (Demow | 0), (Nazira | 0), (Sivsagar | 0)",,,,,
,Charaideo,0,0,0,0,0,0,"0 (Sonari | 0), (Mahmora | 0)",,,,,
,Goalpara,0,0,0,0,0,0,0 (Lakhipur | 0),,,,,
,Darrang,0,0,0,0,0,0,0 (Mangaldoi | 0),,,,,
,Udalguri,0,0,0,0,0,0,0 (Udalguri | 0),,,,,
,Golaghat,0,0,0,0,0,0,"0 (Khumtai | 0), (Bokakhat | 0)",,,,,
,Dhemaji,0,0,0,0,0,0,0 (Jonai | 0),,,,,
,Total,0,0,0,0,0,0,,,,,,
"Animals
Affected",District,Total,Big,Small,Poultry,,,,,,,,
,Charaideo,0,0,0,0,,,,,,,,
,Darrang,825,155,170,500,,,,,,,,
,Dhemaji,0,0,0,0,,,,,,,,
,Dibrugarh,1950,1023,927,0,,,,,,,,
,Goalpara,0,0,0,0,,,,,,,,
,Golaghat,0,0,0,0,,,,,,,,
,Sivasagar,17859,7895,6421,3543,,,,,,,,
,Udalguri,0,0,0,0,,,,,,,,
,Total,20634,9073,7518,4043,,,,,,,,
,,,,,,,,,,,,,
"Animals
Washed
Away",District,Total,Big,Small,Poultry,,,,,,,,
,Charaideo,0,0,0,0,,,,,,,,
,Darrang,0,0,0,0,,,,,,,,
,Dhemaji,0,0,0,0,,,,,,,,
,Dibrugarh,0,0,0,0,,,,,,,,
,Goalpara,0,0,0,0,,,,,,,,
,Golaghat,0,0,0,0,,,,,,,,
,Sivasagar,0,0,0,0,,,,,,,,
,Udalguri,0,0,0,0,,,,,,,,
,Total,0,0,0,0,,,,,,,,
"Houses
Damaged",District,Fully,Fully Pukka,Fully Total,,Partially,Partially,Partially Total,,,,,
,,Kuccha,,,,Kuccha,Pukka,,,,,,
,Dibrugarh,0,0,0,,0,0,0,,,,,
,Sivasagar,0,0,0,,0,0,0,,,,,
,Charaideo,0,0,0,,0,0,0,,,,,
,Goalpara,0,0,0,,0,0,0,,,,,
,Darrang,0,0,0,,0,0,0,,,,,
,Udalguri,0,0,0,,0,0,0,,,,,
,Golaghat,0,0,0,,0,0,0,,,,,
,Dhemaji,0,0,0,,0,0,0,,,,,
,Total,0,0,0,,0,0,0,,,,,
"Houses
Damaged
Others",District,Others Huts,,,Others Cattle Shed,,,Others Total,,,,,
,Dibrugarh,0,,,0,,,0,,,,,
,Sivasagar,0,,,0,,,0,,,,,
,Charaideo,0,,,0,,,0,,,,,
,Goalpara,0,,,0,,,0,,,,,
,Darrang,0,,,0,,,0,,,,,
,Udalguri,0,,,0,,,0,,,,,
,Golaghat,0,,,0,,,0,,,,,
,Dhemaji,0,,,0,,,0,,,,,
,Total,0,,,0,,,0,,,,,
"Rescue
Operation",District,Agency,,,Other Agencies,,Medical,Boats,Person,Animal,Helicopters,Person,
,,,,,Involved,,Team,Deployed,Evacuated,Evacuated,Deployed,Evacuated By,
,,,,,,,Deployed,,By Boats,By Boats,,Helicopters,
,Charaideo,,,,,,0,0,0,0,0,0,
,Darrang,,,,,,0,0,0,0,0,0,
,Dhemaji,,,,,,0,0,0,0,0,0,
,Dibrugarh,,,,,,16,0,0,0,0,0,
,Goalpara,,,,,,0,0,0,0,0,0,
,Golaghat,,,,,,0,0,0,0,0,0,
,Sivasagar,,,,,,0,0,0,0,0,0,
,Udalguri,,,,,,0,0,0,0,0,0,
,Total,,,,,,16,0,0,0,0,0,
"Relief
Distributed",District,Rice (in Q),Dal (in Q),Salt (in Q),M. Oil (in,Cattle Feed,Cattle Feed -,Cattle Feed - Rice Bran (in Q),,,,,
,,,,,L),- Green,Wheat Bran,,,,,,
,,,,,,Fooder (in,(in Q),,,,,,
,,,,,,Q),,,,,,,
,Charaideo,37.31,6.77,2.02,202.00,0.00,0.00,0.00,,,,,
,Darrang,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
,Dhemaji,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
,Dibrugarh,105.36,19.20,5.18,0.00,0.00,63.14,0.00,,,,,
,Goalpara,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
,Golaghat,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
,Sivasagar,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
,Udalguri,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
,Total,142.67,25.97,7.2,202,0,63.14,0,,,,,
,District,Baby Food Liquid,,Baby Food Solid,,Others,,,,,,,
,Charaideo,0.00-Pkt,,0.00-Pkt,,,,,,,,,
,Darrang,,,,,,,,,,,,
,Dhemaji,,,,,,,,,,,,
,Dibrugarh,0.00-L,,0.00-Kg,,Mineral Water-2000.00-Ltr.,,,,,,,
,Goalpara,,,,,,,,,,,,
,Golaghat,,,,,,,,,,,,
,Sivasagar,,,,,,,,,,,,
,Udalguri,,,,,,,,,,,,
"Infrastructure
Damaged -
Road",District,Number,Revenue Circle,Road Name,,Department,Village,Location,,Longitude,Latitude,Remarks,
,Charaideo,0,(Sonari | 0),Nil,,Nil,Nil,Nil,,Nil,Nil,Nil,
,,,(Mahmora | 0),Nil,,Nil,Nil,Nil,,Nil,Nil,Nil,
,Darrang,0,"(Mangaldoi |
0)",Nil,,Nil,Nil,Nil,,Nil,Nil,Nil,
,Dhemaji,0,(Jonai | 0),Nil,,Nil,Nil,Nil,,Nil,Nil,Nil,
,Dibrugarh,0,"(Tingkhong |
0)",Nil,,Nil,Nil,Nil,,Nil,Nil,Nil,
,,,(Moran | 0),Nil,,Nil,Nil,Nil,,Nil,Nil,Nil,
,,,"(Naharkatia |
0)",Nil,,Nil,Nil,Nil,,Nil,Nil,Nil,
,Goalpara,1,(Lakhipur | 1),"Road from 10th KM
of LJ Road (Peerbari)
to Uttar Katarihara
road",,"PWD
(Roads)",Katarihara,Kataarihara,,90.21,26.04,"As per report
of PWRD,
Goalpara East
and Jaleswar
TR Division
reported on
14.08.2024,
Road from
10th KM of LJ
Road
(Peerbari) to
Uttar
Katarihara
road has been
damaged due
to flood on
20.06.2024 to
26.06.2024",
,Golaghat,0,(Khumtai | 0),Nil,,Nil,Nil,Nil,,Nil,Nil,Nil,
,,,(Bokakhat | 0),Nil,,Nil,Nil,Nil,,Nil,Nil,Nil,
,Sivasagar,0,(Demow | 0),Nil,,Nil,Nil,Nil,,Nil,Nil,Nil,
,,,(Nazira | 0),Nil,,Nil,Nil,Nil,,Nil,Nil,Nil,
,,,(Sivsagar | 0),Nil,,Nil,Nil,Nil,,Nil,Nil,Nil,
,Udalguri,0,(Udalguri | 0),Nil,,Nil,Nil,Nil,,Nil,Nil,Nil,
,Total,1,,,,,,,,,,,
"Infrastructure
Damaged -
Bridge",District,Number,Revenue Circle,Bridge Name,,Department,Village,Location,,Longitude,Latitude,Remarks,
,Charaideo,0,(Sonari | 0),Nil,,Nil,Nil,Nil,,Nil,Nil,Nil,
,,,(Mahmora | 0),Nil,,Nil,Nil,Nil,,Nil,Nil,Nil,
,Darrang,0,"(Mangaldoi |
0)",Nil,,Nil,Nil,Nil,,Nil,Nil,Nil,
,Dhemaji,0,(Jonai | 0),Nil,,Nil,Nil,Nil,,Nil,Nil,Nil,
,Dibrugarh,0,"(Tingkhong |
0)",Nil,,Nil,Nil,Nil,,Nil,Nil,Nil,
,,,(Moran | 0),Nil,,Nil,Nil,Nil,,Nil,Nil,Nil,
,,,"(Naharkatia |
0)",Nil,,Nil,Nil,Nil,,Nil,Nil,Nil,
,Goalpara,0,(Lakhipur | 0),Nil,,Nil,Nil,Nil,,Nil,Nil,Nil,
,Golaghat,0,(Khumtai | 0),Nil,,Nil,Nil,Nil,,Nil,Nil,Nil,
,,,(Bokakhat | 0),Nil,,Nil,Nil,Nil,,Nil,Nil,Nil,
,Sivasagar,0,(Demow | 0),Nil,,Nil,Nil,Nil,,Nil,Nil,Nil,
,,,(Nazira | 0),Nil,,Nil,Nil,Nil,,Nil,Nil,Nil,
,,,(Sivsagar | 0),Nil,,Nil,Nil,Nil,,Nil,Nil,Nil,
,Udalguri,0,(Udalguri | 0),Nil,,Nil,Nil,Nil,,Nil,Nil,Nil,
,Total,0,,,,,,,,,,,
,District,Number,Revenue Circle,Embankment,,Department,Village,Location,,Longitude,Latitude,Remarks,
,,,,Breached Name,,,,,,,,,
,Charaideo,0,(Sonari | 0),Nil,,Nil,Nil,Nil,,Nil,Nil,Nil,
,,,(Mahmora | 0),Nil,,Nil,Nil,Nil,,Nil,Nil,Nil,
,Darrang,0,"(Mangaldoi |
0)",Nil,,Nil,Nil,Nil,,Nil,Nil,Nil,
,Dhemaji,0,(Jonai | 0),Nil,,Nil,Nil,Nil,,Nil,Nil,Nil,
,Dibrugarh,0,"(Tingkhong |
0)",Nil,,Nil,Nil,Nil,,Nil,Nil,Nil,
,,,(Moran | 0),Nil,,Nil,Nil,Nil,,Nil,Nil,Nil,
,,,"(Naharkatia |
0)",Nil,,Nil,Nil,Nil,,Nil,Nil,Nil,
,Goalpara,0,(Lakhipur | 0),Nil,,Nil,Nil,Nil,,Nil,Nil,Nil,
,Golaghat,0,(Khumtai | 0),Nil,,Nil,Nil,Nil,,Nil,Nil,Nil,
,,,(Bokakhat | 0),Nil,,Nil,Nil,Nil,,Nil,Nil,Nil,
,Sivasagar,0,(Demow | 0),Nil,,Nil,Nil,Nil,,Nil,Nil,Nil,
,,,(Nazira | 0),Nil,,Nil,Nil,Nil,,Nil,Nil,Nil,
,,,(Sivsagar | 0),Nil,,Nil,Nil,Nil,,Nil,Nil,Nil,
,Udalguri,0,(Udalguri | 0),Nil,,Nil,Nil,Nil,,Nil,Nil,Nil,
,Total,0,,,,,,,,,,,
"Infrastructure
Damaged -
Embankment
Affected",District,Number,Revenue Circle,Embankment,,Department,Village,Location,,Longitude,Latitude,Remarks,
,,,,Affected Name,,,,,,,,,
,Charaideo,0,(Sonari | 0),Nil,,Nil,Nil,Nil,,Nil,Nil,Nil,
,,,(Mahmora | 0),Nil,,Nil,Nil,Nil,,Nil,Nil,Nil,
,Darrang,0,"(Mangaldoi |
0)",Nil,,Nil,Nil,Nil,,Nil,Nil,Nil,
,Dhemaji,0,(Jonai | 0),Nil,,Nil,Nil,Nil,,Nil,Nil,Nil,
,Dibrugarh,0,"(Tingkhong |
0)",Nil,,Nil,Nil,Nil,,Nil,Nil,Nil,
,,,(Moran | 0),Nil,,Nil,Nil,Nil,,Nil,Nil,Nil,
,,,"(Naharkatia |
0)",Nil,,Nil,Nil,Nil,,Nil,Nil,Nil,
,Goalpara,0,(Lakhipur | 0),Nil,,Nil,Nil,Nil,,Nil,Nil,Nil,
,Golaghat,0,(Khumtai | 0),Nil,,Nil,Nil,Nil,,Nil,Nil,Nil,
,,,(Bokakhat | 0),Nil,,Nil,Nil,Nil,,Nil,Nil,Nil,
,Sivasagar,0,(Demow | 0),Nil,,Nil,Nil,Nil,,Nil,Nil,Nil,
,,,(Nazira | 0),Nil,,Nil,Nil,Nil,,Nil,Nil,Nil,
,,,(Sivsagar | 0),Nil,,Nil,Nil,Nil,,Nil,Nil,Nil,
,Udalguri,0,(Udalguri | 0),Nil,,Nil,Nil,Nil,,Nil,Nil,Nil,
,Total,0,,,,,,,,,,,
,District,Revenue,Damages,Number,Name,Department,Village,Location,,Longitude,Latitude,Remarks,
,,Circle,,,,,,,,,,,
,,,,,,,,,,,,,
,Charaideo,Sonari,"Fisheries/Pond
(in Hect.)",1,Dipa gogoi,Fishery,Bhojo Gaon,Sonari,,,,Submerged,
,,Mahmora,"Fisheries/Pond
(in Hect.)",1,Kapil Gogoi,Fishery,Jajali Pukhuri,"Jajali Pukhuri, Doba",,94.87,27.08,"Individual
Pond 1 Hactor",
,,,"Handloom &
Textile Deptt
(in Nos)",1,"Hunlota
Paw","Handloom &
Textile",Jungle Block,Jungle Block,,94.92,27.13,"Individual
Handloom
damaged",
,Darrang,Mangaldoi,Nil,Nil,Nil,Nil,Nil,Nil,,Nil,Nil,Nil,
,Dhemaji,Jonai,Nil,Nil,Nil,Nil,Nil,Nil,,Nil,Nil,Nil,
,Dibrugarh,Tingkhong,Nil,Nil,Nil,Nil,Nil,Nil,,Nil,Nil,Nil,
,,Moran,Nil,Nil,Nil,Nil,Nil,Nil,,Nil,Nil,Nil,
,,Naharkatia,Nil,Nil,Nil,Nil,Nil,Nil,,Nil,Nil,Nil,
,Goalpara,Lakhipur,Nil,Nil,Nil,Nil,Nil,Nil,,Nil,Nil,Nil,
,Golaghat,Khumtai,Nil,Nil,Nil,Nil,Nil,Nil,,Nil,Nil,Nil,
,,Bokakhat,Nil,Nil,Nil,Nil,Nil,Nil,,Nil,Nil,Nil,
,Sivasagar,Demow,Nil,Nil,Nil,Nil,Nil,Nil,,Nil,Nil,Nil,
,,Nazira,Nil,Nil,Nil,Nil,Nil,Nil,,Nil,Nil,Nil,
,,Sivsagar,Nil,Nil,Nil,Nil,Nil,Nil,,Nil,Nil,Nil,
,Udalguri,Udalguri,"Power Dept.
Conductors (in
Nos)",25,"LT
conductor
snapped",APDCL,Khagrabari,Khagrabari,,92.06,26.72,"Due to
incessant rain,
0.84 km LT
conductor has
been
snapped.",
,,,,,"11kV and
LT
conductor
snapped",APDCL,Bhairaguri,"Bhairaguri (Paschim
Bhairaguri)",,92.05,26.68,"Due to
incessant rain,
2 km 11kV
and 1.8 km LT
conductor has",
,,,,,,,,,,"been
snapped.",,,
,,,,"LT
conductor
snapped",APDCL,Chamuapara,"Chamuapara
(Somowapara)",91.99,26.71,"Due to
incessant rain,
0.74 km LT
conductor has
been
snapped.",,,
,,,,"LT
conductor
snapped",APDCL,Belguri,Belguri,92.02,26.69,"Due to
incessant rain,
0.92 km LT
conductor has
been
snapped.",,,
,,,,"LT
conductor
snapped",APDCL,Saru Nagaon,Sarunagaon,92.06,26.65,"Due to
incessant rain,
0.91 km LT
conductor has
been
snapped.",,,
,,,,"LT
conductor
snapped",APDCL,Dongamokha,Dogormokha,92.04,26.28,"Due to
incessant rain,
0.75 km LT
conductor has
been
snapped.",,,
,,,,"LT
conductor
snapped",APDCL,"Bhura
Chuburi",Bhurachuburi,92.04,26.72,"Due to
incessant,
0.74 km LT
conductor has
been
snapped.",,,
,,,,"LT
conductor
snapped",APDCL,Kahibari,Kahibari,92,26.71,"Due to
incessant rain,
0.54 km LT
conductor has
been
snapped.",,,
,,,,"LT
conductor
snapped",APDCL,Rowta Pathar,Rowta Pathar,92.24,26.7,"Due to
incessant rain,
0.86 km 11kV
and 0.94 km
LT conductor
has been
snapped.",,,
,,,,"11kV and
LT
conductor
snapped",APDCL,Borigaon,Borigaon,92.04,26.8,"Due to
incessant rain,
0.95 km 11kV
and 0.35 km
LT conductor
had been
snapped.",,,
,,,,"11kV and
LT
conductor
snapped",APDCL,"Kundarbil
Gaon",Kundarbil Gaon,92,26.83,"Due to
incessant rain,
0.82 km 11kV
and 0.9 km LT
conductor has
been
snapped.",,,
,,,,"LT
conductor
snapped",APDCL,Bhalukmari,Bhalukmari (Rowta),92.21,26.71,"Due to
incessant rain,
1.8 km LT
conductor has
been
snapped.",,,
,,,,"LT
conductor
snapped",APDCL,Golondi Habi,Golondi Habi,92.1,26.74,"Due to
incessant rain,
0.75 km LT
conductor has",,,
,,,,,,,,,,,,"been
snapped.",
,,,,,"LT
conductor
snapped",APDCL,"No.1
Sapkhaity",No. 1 Sapkhaity,,92.07,26.72,"Due to
incessant rain,
0.9 km LT
conductor has
been
snapped.",
,,,,,"11kV and
LT
conductor
snapped",APDCL,"Borigaon
Jungle",Borigaon Jungle,,92.03,26.76,"Due to
incessant rain,
0.65 km 11kV
and 0.73 km
LT conductor
had been
snapped.",
,,,,,"LT
conductor
snapped",APDCL,Golmagaon,Golmagaon,,92.09,26.76,"Due to
incessant rain,
1.35 km LT
conductor has
been
snapped.",
,,,,,"LT
conductor
snapped",APDCL,Galagaon,Galagaon,,92.15,26.79,"Due to
incessant rain,
0.95 km LT
conductor has
been
snapped.",
,,,,,"11kV and
LT
conductor
snapped",APDCL,Aminpara,Aminpara,,92.21,26.71,"Due to
incessant rain,
0.78 km 11kV
and 0.85 km
LT conductor
had been
snapped.",
,,,,,,,,,,,,,
"Wildlife
affected
under
protected
areas
description",District,Details,,,,,,,,,,,
,Charaideo,,,,,,,,,,,,
,Darrang,,,,,,,,,,,,
,Dhemaji,,,,,,,,,,,,
,Dibrugarh,,,,,,,,,,,,
,Goalpara,,,,,,,,,,,,
,Golaghat,,,,,,,,,,,,
,Sivasagar,,,,,,,,,,,,
,Udalguri,,,,,,,,,,,,
Remarks,District,Details,,,,,,,,,,,
,Charaideo,,,,,,,,,,,,
,Darrang,,,,,,,,,,,,
,Dhemaji,,,,,,,,,,,,
,Dibrugarh,,,,,,,,,,,,
,Goalpara,,,,,,,,,,,,
,Golaghat,,,,,,,,,,,,
,Sivasagar,,,,,,,,,,,,
,Udalguri,,,,,,,,,,,,
,Report Generated On: 16-08-2024 05:03 PM,,,,,,,,,,,,
Assam Urban Flood Report as on 16-08-2024,,,,,,,,,,,,,
,,,,,,,,,,,,,
Particulars,Assam Urban Flood Report as on 16-08-2024,,,,,,,,,,,,
,,,,,,,,,,,,,
District Affected,No. of Districts,Name of Affected Districts,,,,,,,,,,,
,Affected,,,,,,,,,,,,
,,,,,,,,,,,,,
,0,,,,,,,,,,,,
"No. Of Revenue
Circles Affected",0,,,,,,,,,,,,
"Name Of
Revenue Circle
Affected",District,Total,Revenue Circle,,,,,,,,,,
,,,,,,,,,,,,,
,Nil,Nil,Nil,,,,,,,,,,
,Total,Nil,,,,,,,,,,,
Villages Affected,District,Total,Revenue Circle,,,,,,,,,,
,,,,,,,,,,,,,
,Nil,Nil,Nil,,,,,,,,,,
,Total,Nil,,,,,,,,,,,
"Population
Affected",District,Male,Female,Children,Total,Population Details,,,Ward,,Total Ward,Locality,
,,,,,Population,,,,,,,,
,Nil,Nil,Nil,Nil,Nil,Nil,,,Nil,,Nil,Nil,
,Total,Nil,Nil,Nil,Nil,,,,,,Nil,,
"Relief Camps /
Centres Opened",District,Total,Relief Camp,,,,Relief Distribution Centres,,,,,,
,,,,,,,,,,,,,
,Nil,Nil,Nil,,,,Nil,,,,,,
,Total,Nil,Nil,,,,Nil,,,,,,
