0,1,2,3,4,5,6,7,8,9,10,11,12
Assam Flood Report as on 12-06-2024,,,,,,,,,,,,
Particulars,Assam Flood Report as on 12-06-2024,,,,,,,,,,,
"Rivers flowing
above Danger
Level (as per
CWC bulletin
issued at 8 AM)",Rivers flowing above danger level,,,,,Nil,,,,,,
,Rivers flowing above highest flood level,,,,,Nil,,,,,,
District Affected,No. of,Name of Affected Districts,,,,,,,,,,
,Districts,,,,,,,,,,,
,Affected,,,,,,,,,,,
,2,"Karimganj, Nagaon",,,,,,,,,,
"No. Of Revenue
Circles Affected",5,,,,,,,,,,,
"Name Of
Revenue Circle
Affected",District,Total,Revenue Circle,,,,,,,,,
,Karimganj,2,"Patherkandi, Karimganj",,,,,,,,,
,Nagaon,3,"Kampur, Nagaon, Raha",,,,,,,,,
,Total,5,,,,,,,,,,
Villages Affected,District,Total,Revenue Circle,,,,,,,,,
,Karimganj,13,"(Patherkandi | 7), (Karimganj | 6)",,,,,,,,,
,Nagaon,12,"(Kampur | 4), (Nagaon | 1), (Raha | 7)",,,,,,,,,
,Total,25,,,,,,,,,,
"Population And
Crop Area
Affected",District,Male,Female,Children,Total,Total Crop Area,,Population and Crop Area Details,,,,
,,,,,Population,,,,,,,
,Karimganj,1125,752,62,1939,0,,"(Patherkandi | Population Affected: 0 | Crop Area: 0),
(Karimganj | Population Affected: 1939 | Crop Area: 0)",,,,
,Nagaon,15,12,5,32,92,,"(Kampur | Population Affected: 0 | Crop Area: 0), (Nagaon
| Population Affected: 32 | Crop Area: 0), (Raha |
Population Affected: 0 | Crop Area: 92)",,,,
,Total,1140,764,67,1971,92,,,,,,
"Relief Camps /
Centres Opened",District,Total,Relief Camp,,,,Relief Distribution Centres,,,,,
,Karimganj,0,"0 (Patherkandi | 0), (Karimganj | 0)",,,,"0 (Patherkandi | 0), (Karimganj | 0)",,,,,
,Nagaon,1,"1 (Kampur | 0), (Nagaon | 1), (Raha | 0)",,,,"0 (Kampur | 0), (Nagaon | 0), (Raha | 0)",,,,,
,Total,1,1,,,,0,,,,,
"Inmates In Relief
Camps",District,Total,Revenue Circlewise,,,Male,Female,Children,Pregnant,Person with Disability,,
,,,,,,,,,/,,,
,,,,,,,,,Lactating,,,
,,,,,,,,,Mother,,,
,Karimganj,0,"(Patherkandi | 0), (Karimganj | 0)",,,0,0,0,0,0,,
,Nagaon,32,"(Kampur | 0), (Nagaon | 32), (Raha | 0)",,,15,12,5,0,0,,
,Total,32,,,,15,12,5,0,0,,
"Non Camp
Inmates in Relief
Distribution
Centers",District,Total,Revenue Circlewise,,,Male,Female,Children,Animals,,,
,,,,,,,,,Big,Small,Poultry,
,Karimganj,0,"(Patherkandi | 0), (Karimganj | 0)",,,0,0,0,0,0,0,
,Nagaon,0,"(Kampur | 0), (Nagaon | 0), (Raha | 0)",,,0,0,0,0,0,0,
,Total,0,,,,0,0,0,0,0,0,
"Human Lives
Lost - Confirmed",District,Total,Male,Female,Children,,Others,Revenue Circlewise,,,,
