0,1,2,3,4,5,6,7,8,9,10,11,12
Assam Flood Report as on 29-06-2024,,,,,,,,,,,,
Particulars,Assam Flood Report as on 29-06-2024,,,,,,,,,,,
"Rivers
flowing
above Danger
Level (as per
CWC bulletin
issued at 8
AM)",Rivers flowing above danger level,,,,,Nil,,,,,,
,Rivers flowing above highest flood level,,,,,Nil,,,,,,
"District
Affected",No. of,Name of Affected Districts,,,,,,,,,,
,Districts,,,,,,,,,,,
,Affected,,,,,,,,,,,
,7,"Kamrup, Karimganj, Dhemaji, Dibrugarh, Cachar, Tinsukia, Lakhimpur",,,,,,,,,,
"No. Of
Revenue
Circles
Affected",17,,,,,,,,,,,
"Name Of
Revenue
Circle
Affected",District,Total,Revenue Circle,,,,,,,,,
,Cachar,1,Katigorah,,,,,,,,,
,Dhemaji,3,"Jonai, Sissiborgaon, Dhemaji",,,,,,,,,
,Dibrugarh,1,Chabua,,,,,,,,,
,Kamrup,5,"Kamalpur, North Ghy, Rangia, Kayan, Hajo",,,,,,,,,
,Karimganj,4,"Badarpur, Nilambazar, RK Nagar, Karimganj",,,,,,,,,
,Lakhimpur,1,Subansiri,,,,,,,,,
,Tinsukia,2,"Tinsukia, Sadiya",,,,,,,,,
,Total,17,,,,,,,,,,
"Villages
Affected",District,Total,Revenue Circle,,,,,,,,,
,Kamrup,171,"(Kamalpur | 75), (North Ghy | 24), (Rangia | 18), (Kayan | 14), (Hajo | 40)",,,,,,,,,
,Karimganj,95,"(Badarpur | 4), (Nilambazar | 39), (RK Nagar | 42), (Karimganj | 10)",,,,,,,,,
,Dhemaji,67,"(Jonai | 56), (Sissiborgaon | 9), (Dhemaji | 2)",,,,,,,,,
,Dibrugarh,10,(Chabua | 10),,,,,,,,,
,Cachar,52,(Katigorah | 52),,,,,,,,,
,Tinsukia,4,"(Tinsukia | 3), (Sadiya | 1)",,,,,,,,,
,Lakhimpur,12,(Subansiri | 12),,,,,,,,,
,Total,411,,,,,,,,,,
"Population
And Crop
Area Affected",District,Male,Female,Children,Total,Total Crop Area,,Population and Crop Area Details,,,,
,,,,,Population,,,,,,,
,Barpeta,0,0,0,0,0,,(Barpeta | Population Affected: 0 | Crop Area: 0),,,,
,Cachar,25330,25580,16120,67030,0,,(Katigorah | Population Affected: 67030 | Crop Area: 0),,,,
,Darrang,0,0,0,0,0,,(Mangaldoi | Population Affected: 0 | Crop Area: 0),,,,
,Dhemaji,9918,9358,6671,25947,1032.9,,"(Jonai | Population Affected: 18789 | Crop Area: 720.9),
(Sissiborgaon | Population Affected: 6318 | Crop Area: 312),
(Dhemaji | Population Affected: 840 | Crop Area: 0)",,,,
,Dibrugarh,1570,1237,1050,3857,67,,(Chabua | Population Affected: 3857 | Crop Area: 67),,,,
,Goalpara,0,0,0,0,0,,(Matia | Population Affected: 0 | Crop Area: 0),,,,
,Kamrup,2,2,4,8,524.9,,"(Kamalpur | Population Affected: 0 | Crop Area: 169.57),
(North Ghy | Population Affected: 8 | Crop Area: 55.9),
(Rangia | Population Affected: 0 | Crop Area: 78), (Kayan |
Population Affected: 0 | Crop Area: 6.43), (Hajo |
Population Affected: 0 | Crop Area: 215)",,,,
,Karimganj,10507,9026,7702,27235,0,,"(Badarpur | Population Affected: 1201 | Crop Area: 0),
(Nilambazar | Population Affected: 9600 | Crop Area: 0),
(RK Nagar | Population Affected: 1184 | Crop Area: 0),
(Karimganj | Population Affected: 15250 | Crop Area: 0)",,,,
,Lakhimpur,0,0,0,0,86.47,,(Subansiri | Population Affected: 0 | Crop Area: 86.47),,,,
,Sonitpur,0,0,0,0,0,,(Thelamara | Population Affected: 0 | Crop Area: 0),,,,
,Tinsukia,4058,3597,2213,9868,2402,,"(Tinsukia | Population Affected: 2189 | Crop Area: 26),
(Sadiya | Population Affected: 7679 | Crop Area: 2376)",,,,
,Udalguri,0,0,0,0,0,,"(Khairabari | Population Affected: 0 | Crop Area: 0),
(Harisinga | Population Affected: 0 | Crop Area: 0)",,,,
,Total,51385,48800,33760,133945,4113.27,,,,,,
"Relief Camps
/ Centres
Opened",District,Total,Relief Camp,,,,Relief Distribution Centres,,,,,
,Barpeta,0,0 (Barpeta | 0),,,,0 (Barpeta | 0),,,,,
,Cachar,3,3 (Katigorah | 3),,,,0 (Katigorah | 0),,,,,
,Darrang,0,0 (Mangaldoi | 0),,,,0 (Mangaldoi | 0),,,,,
,Dhemaji,4,"0 (Jonai | 0), (Sissiborgaon | 0), (Dhemaji | 0)",,,,"4 (Jonai | 3), (Sissiborgaon | 0), (Dhemaji | 1)",,,,,
,Dibrugarh,0,0 (Chabua | 0),,,,0 (Chabua | 0),,,,,
,Goalpara,0,0 (Matia | 0),,,,0 (Matia | 0),,,,,
,Kamrup,2,"1 (Kamalpur | 0), (North Ghy | 1), (Rangia | 0),
(Kayan | 0), (Hajo | 0)",,,,"1 (Kamalpur | 0), (North Ghy | 1), (Rangia | 0), (Kayan | 0), (Hajo | 0)",,,,,
,Karimganj,62,"62 (Badarpur | 7), (Nilambazar | 13), (RK Nagar |
8), (Karimganj | 34)",,,,"0 (Badarpur | 0), (Nilambazar | 0), (RK Nagar | 0), (Karimganj | 0)",,,,,
,Lakhimpur,0,0 (Subansiri | 0),,,,0 (Subansiri | 0),,,,,
,Sonitpur,0,0 (Thelamara | 0),,,,0 (Thelamara | 0),,,,,
,Tinsukia,0,"0 (Tinsukia | 0), (Sadiya | 0)",,,,"0 (Tinsukia | 0), (Sadiya | 0)",,,,,
,Udalguri,0,"0 (Khairabari | 0), (Harisinga | 0)",,,,"0 (Khairabari | 0), (Harisinga | 0)",,,,,
,Total,71,66,,,,5,,,,,
"Inmates In
Relief Camps",District,Total,Revenue Circlewise,,,Male,Female,Children,Pregnant,Person with Disability,,
,,,,,,,,,/,,,
,,,,,,,,,Lactating,,,
,,,,,,,,,Mother,,,
,Barpeta,0,(Barpeta | 0),,,0,0,0,0,0,,
,Cachar,163,(Katigorah | 163),,,66,39,58,0,0,,
,Darrang,0,(Mangaldoi | 0),,,0,0,0,0,0,,
,Dhemaji,0,"(Jonai | 0), (Sissiborgaon | 0),
(Dhemaji | 0)",,,0,0,0,0,0,,
,Dibrugarh,0,(Chabua | 0),,,0,0,0,0,0,,
,Goalpara,0,(Matia | 0),,,0,0,0,0,0,,
,Kamrup,8,"(Kamalpur | 0), (North Ghy | 8),
(Rangia | 0), (Kayan | 0), (Hajo | 0)",,,2,1,4,1,0,,
,Karimganj,8313,"(Badarpur | 315), (Nilambazar |
478), (RK Nagar | 579), (Karimganj
| 6941)",,,3300,2864,2148,1,0,,
,Lakhimpur,0,(Subansiri | 0),,,0,0,0,0,0,,
,Sonitpur,0,(Thelamara | 0),,,0,0,0,0,0,,
,Tinsukia,0,"(Tinsukia | 0), (Sadiya | 0)",,,0,0,0,0,0,,
,Udalguri,0,"(Khairabari | 0), (Harisinga | 0)",,,0,0,0,0,0,,
,Total,8484,,,,3368,2904,2210,2,0,,
"Non Camp
Inmates in
Relief
Distribution
Centers",District,Total,Revenue Circlewise,,,Male,Female,Children,Animals,,,
,,,,,,,,,Big,Small,Poultry,
,Barpeta,0,(Barpeta | 0),,,0,0,0,0,0,0,
,Cachar,0,(Katigorah | 0),,,0,0,0,0,0,0,
,Darrang,0,(Mangaldoi | 0),,,0,0,0,0,0,0,
,Dhemaji,2946,"(Jonai | 2946), (Sissiborgaon | 0),
(Dhemaji | 0)",,,1235,1145,566,0,0,0,
,Dibrugarh,0,(Chabua | 0),,,0,0,0,0,0,0,
,Goalpara,0,(Matia | 0),,,0,0,0,0,0,0,
,Kamrup,0,"(Kamalpur | 0), (North Ghy | 0),
(Rangia | 0), (Kayan | 0), (Hajo | 0)",,,0,0,0,2386,814,500,
,Karimganj,0,"(Badarpur | 0), (Nilambazar | 0),
(RK Nagar | 0), (Karimganj | 0)",,,0,0,0,0,0,0,
,Lakhimpur,0,(Subansiri | 0),,,0,0,0,0,0,0,
,Sonitpur,0,(Thelamara | 0),,,0,0,0,0,0,0,
,Tinsukia,0,"(Tinsukia | 0), (Sadiya | 0)",,,0,0,0,0,0,0,
,Udalguri,0,"(Khairabari | 0), (Harisinga | 0)",,,0,0,0,0,0,0,
,Total,2946,,,,1235,1145,566,2386,814,500,
"Human Lives
Lost -
Confirmed",District,Total,Male,Female,Children,,Others,Revenue Circlewise,,,,
,,,,,Male,Female,,,,,,
,Kamrup,0,0,0,0,0,0,"0 (Kamalpur | 0), (North Ghy | 0), (Rangia | 0), (Kayan | 0),
(Hajo | 0)",,,,
,Goalpara,0,0,0,0,0,0,0 (Matia | 0),,,,
,Barpeta,0,0,0,0,0,0,0 (Barpeta | 0),,,,
,Udalguri,0,0,0,0,0,0,"0 (Khairabari | 0), (Harisinga | 0)",,,,
,Karimganj,0,0,0,0,0,0,"0 (Badarpur | 0), (Nilambazar | 0), (RK Nagar | 0),
(Karimganj | 0)",,,,
,Dhemaji,0,0,0,0,0,0,"0 (Jonai | 0), (Sissiborgaon | 0), (Dhemaji | 0)",,,,
,Dibrugarh,0,0,0,0,0,0,0 (Chabua | 0),,,,
,Darrang,0,0,0,0,0,0,0 (Mangaldoi | 0),,,,
,Cachar,0,0,0,0,0,0,0 (Katigorah | 0),,,,
,Tinsukia,0,0,0,0,0,0,"0 (Tinsukia | 0), (Sadiya | 0)",,,,
,Lakhimpur,0,0,0,0,0,0,0 (Subansiri | 0),,,,
,Sonitpur,0,0,0,0,0,0,0 (Thelamara | 0),,,,
,Total,0,0,0,0,0,0,,,,,
"Human Lives
Lost - Missing",District,Total,Male,Female,Children,,Others,Revenue Circlewise,,,,
,,,,,Male,Female,,,,,,
,Kamrup,0,0,0,0,0,0,"0 (Kamalpur | 0), (North Ghy | 0), (Rangia | 0), (Kayan | 0),
(Hajo | 0)",,,,
,Goalpara,0,0,0,0,0,0,0 (Matia | 0),,,,
,Barpeta,0,0,0,0,0,0,0 (Barpeta | 0),,,,
,Udalguri,0,0,0,0,0,0,"0 (Khairabari | 0), (Harisinga | 0)",,,,
,Karimganj,0,0,0,0,0,0,"0 (Badarpur | 0), (Nilambazar | 0), (RK Nagar | 0),
(Karimganj | 0)",,,,
,Dhemaji,0,0,0,0,0,0,"0 (Jonai | 0), (Sissiborgaon | 0), (Dhemaji | 0)",,,,
,Dibrugarh,0,0,0,0,0,0,0 (Chabua | 0),,,,
,Darrang,0,0,0,0,0,0,0 (Mangaldoi | 0),,,,
,Cachar,0,0,0,0,0,0,0 (Katigorah | 0),,,,
,Tinsukia,0,0,0,0,0,0,"0 (Tinsukia | 0), (Sadiya | 0)",,,,
,Lakhimpur,0,0,0,0,0,0,0 (Subansiri | 0),,,,
,Sonitpur,0,0,0,0,0,0,0 (Thelamara | 0),,,,
,Total,0,0,0,0,0,0,,,,,
"Animals
Affected",District,Total,Big,Small,Poultry,,,,,,,
,Barpeta,0,0,0,0,,,,,,,
,Cachar,0,0,0,0,,,,,,,
,Darrang,0,0,0,0,,,,,,,
,Dhemaji,1588,562,382,644,,,,,,,
,Dibrugarh,7953,5822,2131,0,,,,,,,
,Goalpara,0,0,0,0,,,,,,,
,Kamrup,28013,7293,5220,15500,,,,,,,
,Karimganj,11373,6051,2425,2897,,,,,,,
,Lakhimpur,0,0,0,0,,,,,,,
,Sonitpur,0,0,0,0,,,,,,,
,Tinsukia,0,0,0,0,,,,,,,
,Udalguri,0,0,0,0,,,,,,,
,Total,48927,19728,10158,19041,,,,,,,
"Animals
Washed
Away",District,Total,Big,Small,Poultry,,,,,,,
,Barpeta,0,0,0,0,,,,,,,
,Cachar,0,0,0,0,,,,,,,
,Darrang,0,0,0,0,,,,,,,
,Dhemaji,0,0,0,0,,,,,,,
,Dibrugarh,0,0,0,0,,,,,,,
,Goalpara,0,0,0,0,,,,,,,
,Kamrup,0,0,0,0,,,,,,,
,Karimganj,0,0,0,0,,,,,,,
,Lakhimpur,0,0,0,0,,,,,,,
,Sonitpur,0,0,0,0,,,,,,,
,Tinsukia,0,0,0,0,,,,,,,
,Udalguri,0,0,0,0,,,,,,,
,Total,0,0,0,0,,,,,,,
"Houses
Damaged",District,Fully,Fully Pukka,Fully Total,,Partially,Partially,Partially Total,,,,
,,Kuccha,,,,Kuccha,Pukka,,,,,
,Kamrup,0,0,0,,0,0,0,,,,
,Goalpara,0,0,0,,0,0,0,,,,
,Barpeta,0,0,0,,0,0,0,,,,
,Udalguri,0,0,0,,0,0,0,,,,
,Karimganj,0,0,0,,0,0,0,,,,
,Dhemaji,0,0,0,,0,0,0,,,,
,Dibrugarh,0,0,0,,0,0,0,,,,
,Darrang,0,0,0,,0,0,0,,,,
,Cachar,0,0,0,,0,0,0,,,,
,Tinsukia,0,0,0,,0,0,0,,,,
,Lakhimpur,0,0,0,,0,0,0,,,,
,Sonitpur,0,0,0,,0,0,0,,,,
,Total,0,0,0,,0,0,0,,,,
"Houses
Damaged
Others",District,Others Huts,,,Others Cattle Shed,,,Others Total,,,,
,Kamrup,0,,,0,,,0,,,,
,Goalpara,0,,,0,,,0,,,,
,Barpeta,0,,,0,,,0,,,,
,Udalguri,0,,,0,,,0,,,,
,Karimganj,0,,,0,,,0,,,,
,Dhemaji,0,,,0,,,0,,,,
,Dibrugarh,0,,,0,,,0,,,,
,Darrang,0,,,0,,,0,,,,
,Cachar,0,,,0,,,0,,,,
,Tinsukia,0,,,0,,,0,,,,
,Lakhimpur,0,,,0,,,0,,,,
,Sonitpur,0,,,0,,,0,,,,
,Total,0,,,0,,,0,,,,
"Rescue
Operation",District,Agency,,,Other Agencies Involved,,Medical,Boats,Person,Animal,Helicopters,Person
,,,,,,,Team,Deployed,Evacuated,Evacuated,Deployed,Evacuated By
,,,,,,,Deployed,,By Boats,By Boats,,Helicopters
,Barpeta,,,,,,0,0,0,0,0,0
,Cachar,,,,,,0,0,0,0,0,0
,Darrang,,,,,,0,0,0,0,0,0
,Dhemaji,"Circle Office/Local Administration,
SDRF",,,,,1,6,100,0,0,0
,Dibrugarh,,,,,,0,0,0,0,0,0
,Goalpara,,,,,,0,0,0,0,0,0
,Kamrup,Circle Office/Local Administration,,,,,3,0,0,0,0,0
,Karimganj,,,,,,0,0,0,0,0,0
,Lakhimpur,,,,,,0,0,0,0,0,0
,Sonitpur,,,,,,0,0,0,0,0,0
,Tinsukia,,,,,,0,0,0,0,0,0
,Udalguri,,,,,,0,0,0,0,0,0
,Total,,,,,,4,6,100,0,0,0
"Relief
Distributed",District,Rice (in Q),Dal (in Q),Salt (in,M. Oil (in L),Cattle Feed -,Cattle Feed,Cattle Feed - Rice Bran (in Q),,,,
,,,,Q),,Green,- Wheat,,,,,
,,,,,,Fooder (in Q),Bran (in Q),,,,,
,Barpeta,0,0,0,0,0,0,0,,,,
,Cachar,0,0,0,0,0,0,0,,,,
,Darrang,0,0,0,0,0,0,0,,,,
