S.No,Bank Name,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :
1.0,SBI Bank,1.0,Fee/PreQual/Technical,.pdf,SBD,Bodoland Territorial Council||Panchayat and Rural Development-BTC,DPRD/BTC/15FC/III/Udl43/23/8,2023_BoTC_32163_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,22-Aug-2023 12:30 PM,13-Sep-2023 02:30 PM,22-Aug-2023 12:30 PM,12-Sep-2023 02:30 PM,22-Aug-2023 12:30 PM ,12-Sep-2023 02:00 PM ,22-Aug-2023 12:30 PM,12-Sep-2023 02:30 PM,Director PNRD BTC Kokrajhar,Director PNRD BTC Kokrajhar,"95,218",Yes,fixed,,Nil,Nil,Const of Teachers Hostel at Borigaon High school Borigaon under 15th FC for the year 2022-23,DPRD/BTC/(15th FC)UT(III)/Udl-43/2023/08,Refer to Bid Document ,NA ,"47,60,930",Civil Works,NA ,Tender,180.0,90.0,Udalguri,784509.0,NA ,NA ,NA ,Director PNRD BTC Kokrajhar,No ,No,"1,000",Nil,Nil,No,Bodoland Territorial Council||Panchayat and Rural Development-BTC,2023_BoTC_32163_1,DPRD/BTC/15FC/III/Udl43/23/8,Const of Teachers Hostel at Borigaon High school Borigaon under 15th FC for the year 2022-23
,,,,.pdf,Technical Qualifications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,.pdf,FOB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
