month,DISTRICT_FINALISED,REVENUE_CIRCLE_FINALISED,Awarded Value
2023_08,BISWANATH,Gohpur,136332000.0
2023_08,BONGAIGAON,Srijangram,0.0
2023_08,CACHAR,Katigora,39150000.0
2023_08,DARRANG,Mangaldoi (Pt),0.0
2023_08,DIBRUGARH,Moran,36813600.0
2023_08,GOALPARA,Balijana,26086320.0
2023_08,HAILAKANDI,Katlichara,18400770.0
2023_08,KAMRUP,Chhaygaon,79410000.0
2023_08,KAMRUP,Palasbari,7686605.0
2023_08,KAMRUP,"Rangia
(Pt)",0.0
2023_08,KOKRAJHAR,Kokrajhar (Pt),0.0
2023_08,LAKHIMPUR,Bihpuria,39421800.0
2023_08,LAKHIMPUR,Dhakuakhana (Pt-I),76491000.0
2023_08,NAGAON,Nagaon,17999826.0
2023_08,NALBARI,Nalbari,103180950.0
2023_08,SIVSAGAR,Amguri,40446000.0
2023_08,SIVSAGAR,Dimow,74032830.0
2023_08,SIVSAGAR,Sibsagar,56775870.0
2023_08,SOUTH SALMARA MANCACHAR,Mankachar,52134300.0
2023_08,UDALGURI,Udalguri,67248000.0
