month,DISTRICT_FINALISED,REVENUE_CIRCLE_FINALISED,Awarded Value
2019_09,BARPETA,Barpeta,2497769.71
2019_09,CACHAR,Silchar,14780044.59
2019_09,DHEMAJI,Dhemaji,2211019.0
2019_09,DIBRUGARH,Tengakhat,3086618.0
2019_09,HAILAKANDI,Hailakandi,33711633.17
2019_09,JORHAT,Jorhat West,0.0
2019_09,JORHAT,Teok,3801628.16
2019_09,KAMRUP,Azara,2071942.0
2019_09,KAMRUP,Hajo,1773032.38
2019_09,KAMRUP METRO,Guwahati,31357185.98
2019_09,KOKRAJHAR,Chapar (Pt),9872765.0
2019_09,KOKRAJHAR,Dotoma,15911346.0
2019_09,KOKRAJHAR,Kokrajhar (Pt),13046443.0
2019_09,LAKHIMPUR,Dhakuakhana (Pt-I),0.0
2019_09,MAJULI,Ujani Majuli,20409711.0
2019_09,MORIGAON,Marigaon,4329298.46
2019_09,NAGAON,Nagaon,103730978.06
2019_09,NALBARI,Nalbari,34576380.0
2019_09,UDALGURI,Khoirabari (Pt),9914055.0
