state,district,ID,assam_dist,mean,count
ASSAM,DHUBRI,1,2011Dhub,,0
ASSAM,SOUTH SALMARA MANCACHAR,2,2019Sout,,0
ASSAM,MORIGAON,3,2011Mori,-0.27968084351374833,24603
ASSAM,TINSUKIA,4,2011Tins,-0.17806283926216684,61047
ASSAM,CHARAIDEO,5,2019Char,-0.23639052957577583,19076
ASSAM,GOLAGHAT,6,2011Gola,-0.22095996390352127,63216
ASSAM,DHEMAJI,7,2011Dhem,-0.13847847941420838,44984
ASSAM,K.ANGLONG,8,2011Karb,-0.24973887826990543,131120
ASSAM,KOKRAJHAR,9,2011Kokr,,0
ASSAM,BONGAIGAON,10,2011Bong,,0
ASSAM,NAGAON,11,2011Naga,-0.21793234390909683,46159
ASSAM,HAILAKANDI,12,2011Hail,,0
ASSAM,CHIRANG,13,2011Chir,,0
ASSAM,WEST KARBI ANGLONG,14,2019West,-0.2340645858616505,41200
ASSAM,LAKHIMPUR,15,2011Lakh,-0.1610915818259086,54121
ASSAM,GOALPARA,16,2011Goal,,0
ASSAM,CACHAR,17,2011Cach,,0
ASSAM,MAJULI,18,2019Maju,-0.24418150452064818,14178
ASSAM,NALBARI,19,2011Nalb,,0
ASSAM,DIMA HASAO,20,2011Dima,-0.26730609130859373,64000
ASSAM,UDALGURI,21,2011Udal,-0.1827654632446422,19271
ASSAM,JORHAT,22,2011Jorh,-0.23222351902690302,36836
ASSAM,HOJAI,23,2019Hoja,-0.21448183903197585,26004
ASSAM,BISWANATH,24,2019Bisw,-0.19585127894653867,32112
ASSAM,SONITPUR,25,2011Soni,-0.21909715462756,61963
ASSAM,DARRANG,26,2011Darr,-0.22627162487938668,15416
ASSAM,DIBRUGARH,27,2011Dibr,-0.21252684927583668,61105
ASSAM,KARIMGANJ,28,2011Kari,,0
ASSAM,KAMRUP METRO,29,2011KamrM,-0.21035140774003977,2248
ASSAM,KAMRUP,30,2011Kamr,,0
ASSAM,SIVSAGAR,31,2011Siva,-0.21547608938276397,28336
ASSAM,BARPETA,32,2011Barp,,0
ASSAM,BAJALI,33,2022Baja,,0
ASSAM,TAMULPUR,34,2011Tamu,,0
ASSAM,BAKSA,35,2011Baks,,0
