state,district,ID,assam_dist,mean,count
ASSAM,DHUBRI,1,2011Dhub,-0.0321972298470556,27841
ASSAM,SOUTH SALMARA MANCACHAR,2,2019Sout,-0.011908184234951642,12207
ASSAM,MORIGAON,3,2011Mori,-0.05768662232076866,27060
ASSAM,TINSUKIA,4,2011Tins,-0.057968679686707734,69027
ASSAM,CHARAIDEO,5,2019Char,-0.012490354664420656,19261
ASSAM,GOLAGHAT,6,2011Gola,-0.008759580996091585,63181
ASSAM,DHEMAJI,7,2011Dhem,-0.017295730538575804,44978
ASSAM,K.ANGLONG,8,2011Karb,-0.16785512658366641,131104
ASSAM,KOKRAJHAR,9,2011Kokr,-0.06057662609415885,56179
ASSAM,BONGAIGAON,10,2011Bong,-0.049034700956329454,19509
ASSAM,NAGAON,11,2011Naga,-0.04588234954736902,46209
ASSAM,HAILAKANDI,12,2011Hail,-0.12756309696152823,23475
ASSAM,CHIRANG,13,2011Chir,-0.09011247190227364,34603
ASSAM,WEST KARBI ANGLONG,14,2019West,-0.1426896896623833,54844
ASSAM,LAKHIMPUR,15,2011Lakh,-0.053528839375854786,54107
ASSAM,GOALPARA,16,2011Goal,-0.010217161474801194,35383
ASSAM,CACHAR,17,2011Cach,-0.1501565645119428,66944
ASSAM,MAJULI,18,2019Maju,0.005835137857234951,14179
ASSAM,NALBARI,19,2011Nalb,-0.047728047337352045,18756
ASSAM,DIMA HASAO,20,2011Dima,-0.216345382486848,86869
ASSAM,UDALGURI,21,2011Udal,-0.008101324341793803,36239
ASSAM,JORHAT,22,2011Jorh,-0.014106917083425279,36820
ASSAM,HOJAI,23,2019Hoja,0.0012828496786264274,26000
ASSAM,BISWANATH,24,2019Bisw,-0.014483143621524476,32086
ASSAM,SONITPUR,25,2011Soni,-0.01748248427183555,61946
ASSAM,DARRANG,26,2011Darr,-0.03922851717242465,28399
ASSAM,DIBRUGARH,27,2011Dibr,0.012610291966286529,61080
ASSAM,KARIMGANJ,28,2011Kari,-0.10387786595748977,32501
ASSAM,KAMRUP METRO,29,2011KamrM,-0.07706379326909517,17727
ASSAM,KAMRUP,30,2011Kamr,-0.07065117234636148,55524
ASSAM,SIVSAGAR,31,2011Siva,0.011351288236114237,28326
ASSAM,BARPETA,32,2011Barp,-0.05375281464795146,33353
ASSAM,BAJALI,33,2022Baja,-0.01624131333539164,7471
ASSAM,TAMULPUR,34,2011Tamu,-0.04483428161659797,15770
ASSAM,BAKSA,35,2011Baks,-0.0690398596924493,27908
