state,district,ID,assam_dist,mean,count
ASSAM,DHUBRI,1,2011Dhub,-0.1685689297665614,27866
ASSAM,SOUTH SALMARA MANCACHAR,2,2019Sout,-0.23409550507694118,12209
ASSAM,MORIGAON,3,2011Mori,-0.2440164041033619,24748
ASSAM,TINSUKIA,4,2011Tins,-0.214340326436869,69039
ASSAM,CHARAIDEO,5,2019Char,-0.20261042722562517,13836
ASSAM,GOLAGHAT,6,2011Gola,-0.22439266696028187,62440
ASSAM,DHEMAJI,7,2011Dhem,-0.1615258601287067,44986
ASSAM,K.ANGLONG,8,2011Karb,-0.26461632417217784,131097
ASSAM,KOKRAJHAR,9,2011Kokr,-0.2190389689512757,56204
ASSAM,BONGAIGAON,10,2011Bong,-0.2023158610847727,19511
ASSAM,NAGAON,11,2011Naga,-0.24774437715939793,41823
ASSAM,HAILAKANDI,12,2011Hail,-0.24401233679594336,23480
ASSAM,CHIRANG,13,2011Chir,-0.21874912539904373,34614
ASSAM,WEST KARBI ANGLONG,14,2019West,-0.19254287920500102,456
ASSAM,LAKHIMPUR,15,2011Lakh,-0.16838927782076335,53474
ASSAM,GOALPARA,16,2011Goal,-0.22950516842033705,35396
ASSAM,CACHAR,17,2011Cach,-0.24580001124671466,66964
ASSAM,MAJULI,18,2019Maju,-0.0912214855669098,7292
ASSAM,NALBARI,19,2011Nalb,-0.23802681593465166,18761
ASSAM,DIMA HASAO,20,2011Dima,-0.25869667214641473,60735
ASSAM,UDALGURI,21,2011Udal,-0.2255992606296212,36246
ASSAM,JORHAT,22,2011Jorh,-0.21638690061674787,4336
ASSAM,HOJAI,23,2019Hoja,-0.2574914772605056,14528
ASSAM,BISWANATH,24,2019Bisw,-0.20127812096064598,32106
ASSAM,SONITPUR,25,2011Soni,-0.213345156413903,61965
ASSAM,DARRANG,26,2011Darr,-0.20848920008449812,28403
ASSAM,DIBRUGARH,27,2011Dibr,-0.18570923582809584,61098
ASSAM,KARIMGANJ,28,2011Kari,-0.25770585557785775,32508
ASSAM,KAMRUP METRO,29,2011KamrM,-0.227957776641026,16754
ASSAM,KAMRUP,30,2011Kamr,-0.23186718778134396,55537
ASSAM,SIVSAGAR,31,2011Siva,-0.20783056501030606,9794
ASSAM,BARPETA,32,2011Barp,-0.19214380374036702,33349
ASSAM,BAJALI,33,2022Baja,-0.21717997842988826,7472
ASSAM,TAMULPUR,34,2011Tamu,-0.20129762986980818,15770
ASSAM,BAKSA,35,2011Baks,-0.22632346677308712,27916
