state,district,ID,assam_dist,mean,count
ASSAM,DHUBRI,1,2011Dhub,-0.07782630594461298,27854
ASSAM,SOUTH SALMARA MANCACHAR,2,2019Sout,-0.07796519459089815,12207
ASSAM,MORIGAON,3,2011Mori,-0.08468066565028914,27062
ASSAM,TINSUKIA,4,2011Tins,-0.14627560467152148,69038
ASSAM,CHARAIDEO,5,2019Char,-0.2150763077617614,13827
ASSAM,GOLAGHAT,6,2011Gola,0.0035106480145088185,12695
ASSAM,DHEMAJI,7,2011Dhem,-0.11799312878598421,44985
ASSAM,K.ANGLONG,8,2011Karb,-0.09506214481404103,73652
ASSAM,KOKRAJHAR,9,2011Kokr,-0.14560340962800267,56200
ASSAM,BONGAIGAON,10,2011Bong,-0.10542798273249705,19511
ASSAM,NAGAON,11,2011Naga,-0.07519870176182213,40771
ASSAM,HAILAKANDI,12,2011Hail,-0.10222815272703549,23471
ASSAM,CHIRANG,13,2011Chir,-0.16528349939504478,34610
ASSAM,WEST KARBI ANGLONG,14,2019West,-0.15159550675121258,54842
ASSAM,LAKHIMPUR,15,2011Lakh,-0.16498758714973147,35562
ASSAM,GOALPARA,16,2011Goal,-0.07983023165538201,35391
ASSAM,CACHAR,17,2011Cach,-0.14138258123805186,66956
ASSAM,MAJULI,18,2019Maju,-0.13309309052547966,5134
ASSAM,NALBARI,19,2011Nalb,-0.14912070333322228,18760
ASSAM,DIMA HASAO,20,2011Dima,-0.15553464191351699,86861
ASSAM,UDALGURI,21,2011Udal,-0.1215724116701617,36242
ASSAM,JORHAT,22,2011Jorh,,0
ASSAM,HOJAI,23,2019Hoja,-0.0020715366316705784,25991
ASSAM,BISWANATH,24,2019Bisw,-0.09883025477660026,1655
ASSAM,SONITPUR,25,2011Soni,-0.08819481135007459,60330
ASSAM,DARRANG,26,2011Darr,-0.11996709520320696,28407
ASSAM,DIBRUGARH,27,2011Dibr,-0.18160411097145404,61112
ASSAM,KARIMGANJ,28,2011Kari,-0.1584725945951403,32502
ASSAM,KAMRUP METRO,29,2011KamrM,-0.11794753523050995,17727
ASSAM,KAMRUP,30,2011Kamr,-0.15117564534862782,55532
ASSAM,SIVSAGAR,31,2011Siva,-0.19747404806342522,9795
ASSAM,BARPETA,32,2011Barp,-0.12957351598569222,33356
ASSAM,BAJALI,33,2022Baja,-0.10275353087521327,7473
ASSAM,TAMULPUR,34,2011Tamu,-0.13248004956865805,15772
ASSAM,BAKSA,35,2011Baks,-0.15383166614982624,27914
