District,RevenueCircle,Number of damages,Date
Biswanath,Gohpur ,1,2023-06-11
Biswanath,Halem ,1,2023-06-20
Biswanath,Halem ,2,2023-06-16
Biswanath,Gohpur ,1,2023-06-16
Biswanath,Halem ,1,2023-06-22
Biswanath,Gohpur ,4,2023-06-22
Biswanath,Gohpur ,6,2023-06-12
Darrang,Mangaldoi ,1,2023-06-12
Darrang,Sipajhar ,1,2023-06-23
Darrang,Dalgaon ,1,2023-06-17
Darrang,Patharighat ,3,2023-06-21
Darrang,Dalgaon ,1,2023-06-21
Darrang,Patharighat ,2,2023-06-19
Darrang,Dalgaon ,1,2023-06-19
Darrang,Sipajhar ,1,2023-06-19
Darrang,Patharighat ,9,2023-06-20
Darrang,Mangaldoi ,6,2023-06-22
Darrang,Patharighat ,1,2023-06-22
Darrang,Dalgaon ,1,2023-06-22
Lakhimpur,Narayanpur ,1,2023-06-13
Lakhimpur,Subansiri ,2,2023-06-19
Lakhimpur,Nowboicha ,2,2023-06-14
Lakhimpur,Nowboicha ,2,2023-06-21
Lakhimpur,Nowboicha ,2,2023-06-18
Lakhimpur,Subansiri ,1,2023-06-16
Lakhimpur,Narayanpur ,1,2023-06-16
Lakhimpur,Bihpuria ,1,2023-06-16
Lakhimpur,Subansiri ,2,2023-06-15
Lakhimpur,Nowboicha ,2,2023-06-15
Lakhimpur,Subansiri ,6,2023-06-22
Dhemaji,Jonai ,1,2023-06-23
Dhemaji,Jonai ,1,2023-06-18
Dhemaji,Dhemaji ,2,2023-06-14
Dhemaji,Dhemaji ,2,2023-06-19
Dima Hasao,Haflong ,2,2023-06-14
Nalbari,Banekuchi ,2,2023-06-20
Nalbari,Banekuchi ,1,2023-06-16
Nalbari,Tihu ,2,2023-06-16
Nalbari,Banekuchi ,3,2023-06-19
Nalbari,Tihu ,1,2023-06-19
Nalbari,Banekuchi ,1,2023-06-23
Nalbari,Nalbari ,2,2023-06-23
Nalbari,Ghograpar ,3,2023-06-23
Nalbari,Tihu ,16,2023-06-25
Nalbari,Nalbari ,2,2023-06-21
Nalbari,Banekuchi ,1,2023-06-21
Nalbari,Barkhetri ,1,2023-06-21
Nalbari,Ghograpar ,5,2023-06-21
Nalbari,Barbhag ,6,2023-06-21
Nalbari,Barkhetri ,2,2023-06-24
Nalbari,Nalbari ,1,2023-06-24
Nalbari,Tihu ,3,2023-06-24
Nalbari,Barbhag ,11,2023-06-24
Nalbari,Barkhetri ,1,2023-06-22
Nalbari,Banekuchi ,3,2023-06-22
Nalbari,Barbhag ,14,2023-06-22
Nalbari,Nalbari ,6,2023-06-22
Goalpara,Matia ,1,2023-06-18
Goalpara,Lakhipur ,1,2023-06-20
Goalpara,Matia ,1,2023-06-21
Goalpara,Lakhipur ,1,2023-06-16
Goalpara,Balijana ,2,2023-06-17
Goalpara,Lakhipur ,1,2023-06-17
Goalpara,Lakhipur ,3,2023-06-19
Goalpara,Matia ,1,2023-06-19
Goalpara,Lakhipur ,10,2023-06-23
Goalpara,Lakhipur ,12,2023-06-24
Tamulpur,Tamulpur ,1,2023-06-17
