District,RevenueCircle,Number of damages,Date
Dhemaji,Dhemaji ,1,2023-06-14
Sonitpur,Chariduar ,1,2023-06-17
Sonitpur,Na-Duar,1,2023-06-18
Sonitpur,Chariduar ,1,2023-06-18
Darrang,Dalgaon ,1,2023-06-21
Darrang,Dalgaon ,1,2023-06-19
Darrang,Mangaldoi ,1,2023-06-19
Kokrajhar,Gossaigaon ,1,2023-06-20
Kokrajhar,Dotoma ,1,2023-06-25
Kokrajhar,Bagribari ,1,2023-06-23
Kokrajhar,Bagribari ,3,2023-06-21
Kokrajhar,Bagribari ,4,2023-06-19
Kokrajhar,Dotoma ,1,2023-06-19
Barpeta,Barpeta ,1,2023-06-21
Barpeta,Barpeta ,1,2023-06-20
Barpeta,Baghbor ,3,2023-06-23
Bongaigaon,Manikpur ,1,2023-06-20
Bongaigaon,Srijangram ,2,2023-06-25
Baksa,Baganpara ,1,2023-06-21
Nalbari,Na-Duarlbari ,1,2023-06-22
Nalbari,Na-Duarlbari ,1,2023-06-23
Nalbari,Na-Duarlbari ,1,2023-06-21
Dhubri,Dhubri ,1,2023-06-22
Dhubri,Dhubri ,1,2023-06-24
Dhubri,Dhubri ,7,2023-06-23
Biswanath,Gohpur ,1,2023-06-22
Bajali,Sarupeta ,2,2023-06-23
