District,RevenueCircle,Number of damages,Date
Biswanath,Gohpur ,1,2023-06-11
Biswanath,Gohpur ,1,2023-06-22
Biswanath,Gohpur ,1,2023-06-12
Biswanath,Gohpur ,1,2023-06-23
Lakhimpur,Nowboicha ,1,2023-06-12
Lakhimpur,Narayanpur ,2,2023-06-16
Lakhimpur,Nowboicha ,2,2023-06-14
Darrang,Mangaldoi ,1,2023-06-22
Darrang,Mangaldoi ,2,2023-06-17
Darrang,Mangaldoi ,3,2023-06-12
Darrang,Mangaldoi ,3,2023-06-25
Darrang,Mangaldoi ,4,2023-06-24
Goalpara,Matia ,1,2023-06-15
Udalguri,Kalaigaon ,1,2023-06-17
Udalguri,Harisinga ,1,2023-06-20
Udalguri,Harisinga ,1,2023-06-16
Udalguri,Kalaigaon ,1,2023-06-16
Sonitpur,Chariduar ,1,2023-06-17
Nagaon,Kampur ,1,2023-06-17
Baksa,Barama ,3,2023-06-21
Nalbari,Nalbari ,1,2023-06-22
Nalbari,Tihu ,1,2023-06-21
Bajali,Bajali ,6,2023-06-22
Bajali,Sarupeta ,1,2023-06-22
