object_id,year,sum_population
222,2017,63859.7421875
216,2017,94652.734375
217,2017,42635.046875
218,2017,46985.515625
219,2017,549512.625
220,2017,182656.796875
221,2017,57729.48046875
223,2017,108482.7109375
233,2017,102253.046875
225,2017,135044.65625
226,2017,181301.546875
227,2017,44434.4296875
228,2017,149136.5625
260,2017,74197.2890625
230,2017,11383.314453125
231,2017,157775.390625
232,2017,37498.62109375
215,2017,102983.515625
224,2017,243532.375
214,2017,119838.2890625
193,2017,320129.375
212,2017,133329.8125
234,2017,80492.8203125
194,2017,116266.6328125
195,2017,163865.125
196,2017,242366.296875
197,2017,197789.734375
198,2017,142046.90625
199,2017,125528.4453125
200,2017,307343.1875
201,2017,56630.14453125
202,2017,130531.78125
203,2017,10147.181640625
204,2017,19345.48046875
205,2017,116135.8828125
206,2017,115342.5
207,2017,331580.375
208,2017,185750.78125
209,2017,53348.62109375
210,2017,199657.9375
211,2017,72234.2265625
213,2017,182650.140625
235,2017,6952.78271484375
257,2017,336232.09375
237,2017,16208.220703125
263,2017,77780.421875
264,2017,147546.328125
265,2017,166662.328125
266,2017,242660.8125
267,2017,500199.125
268,2017,77210.828125
269,2017,222952.65625
270,2017,620746.125
271,2017,264914.53125
272,2017,213412.625
273,2017,121383.4453125
274,2017,25273.87890625
276,2017,263035.65625
277,2017,147118.84375
278,2017,125413.0546875
279,2017,202740.234375
280,2017,62864.5390625
281,2017,104574.078125
192,2017,278366.8125
262,2017,165281.3125
236,2017,6705.5771484375
261,2017,295904.15625
258,2017,14760.5859375
238,2017,87152.9765625
239,2017,135492.9375
240,2017,16089.9208984375
241,2017,70456.1640625
242,2017,141.48272705078125
243,2017,2704.833251953125
244,2017,66208.375
245,2017,250681.9375
246,2017,252175.640625
247,2017,128113.28125
248,2017,162491.625
249,2017,384132.34375
250,2017,142850.8125
251,2017,117819.703125
252,2017,303114.875
253,2017,196983.46875
254,2017,546077.4375
255,2017,342982.0625
256,2017,159604.125
259,2017,170437.84375
275,2017,285020.25
191,2017,242208.9375
189,2017,312962.4375
123,2017,205526.265625
124,2017,116201.890625
125,2017,23212.623046875
126,2017,118055.8125
127,2017,255640.59375
128,2017,231093.75
129,2017,189598.625
130,2017,278773.5625
131,2017,363305.71875
132,2017,275440.25
133,2017,414967.78125
134,2017,440921.9375
135,2017,174669.203125
136,2017,259582.375
137,2017,514720.9375
138,2017,280297.0625
139,2017,372531.0625
140,2017,230016.328125
141,2017,141564.484375
122,2017,382629.5
142,2017,253793.5
121,2017,306443.71875
119,2017,134588.46875
190,2017,154537.296875
101,2017,339253.125
102,2017,56939.73828125
103,2017,200861.484375
104,2017,336982.59375
105,2017,110783.6875
106,2017,47987.94921875
107,2017,77570.6328125
108,2017,105940.15625
109,2017,181100.796875
110,2017,168943.453125
111,2017,158106.1875
112,2017,380978.59375
113,2017,300497.84375
114,2017,65011.1484375
115,2017,211195.078125
116,2017,298188.90625
117,2017,290885.90625
118,2017,76923.921875
120,2017,207373.4375
143,2017,158151.296875
145,2017,239320.875
188,2017,458329.65625
169,2017,153106.140625
170,2017,270904.34375
171,2017,155460.4375
172,2017,202391.9375
173,2017,110134.734375
174,2017,152615.828125
175,2017,399187.34375
144,2017,100009.46875
177,2017,256707.703125
178,2017,281074.625
179,2017,100530.2578125
180,2017,97808.5546875
181,2017,69436.6953125
182,2017,33391.5546875
183,2017,72535.359375
184,2017,309815.9375
185,2017,709029.9375
186,2017,172119.046875
187,2017,347228.375
168,2017,235043.390625
167,2017,154676.078125
176,2017,135910.421875
165,2017,190778.546875
166,2017,191158.4375
146,2017,114897.6796875
147,2017,98466.6328125
148,2017,2967.440185546875
149,2017,7216.29541015625
150,2017,135395.046875
152,2017,165100.359375
153,2017,99923.5390625
154,2017,101461.765625
151,2017,257524.734375
156,2017,431289.5625
155,2017,456752.78125
163,2017,192287.8125
162,2017,179360.25
161,2017,252004.421875
164,2017,241665.0
159,2017,239459.953125
158,2017,186763.046875
157,2017,355398.1875
160,2017,169880.765625
