year,month,RC_Id,Type,num_damages,year_month,object_id,timeperiod
2022,5,4.0,Embankments affected,3,2022_05,261,2022_05
2022,5,10.0,Embankments affected,1,2022_05,243,2022_05
2022,5,10.0,Embankments affected,1,2022_05,269,2022_05
2022,5,17.0,Embankments affected,2,2022_05,259,2022_05
2022,5,39.0,Embankments affected,6,2022_05,188,2022_05
2022,5,53.0,Embankments affected,1,2022_05,151,2022_05
2022,5,63.0,Embankments affected,1,2022_05,159,2022_05
2022,5,64.0,Embankments affected,1,2022_05,158,2022_05
2022,5,90.0,Embankments affected,1,2022_05,169,2022_05
2022,5,113.0,Embankments affected,1,2022_05,255,2022_05
2022,5,115.0,Embankments affected,1,2022_05,190,2022_05
2022,5,116.0,Embankments affected,1,2022_05,192,2022_05
2022,5,124.0,Embankments affected,1,2022_05,142,2022_05
2022,5,129.0,Embankments affected,2,2022_05,143,2022_05
2022,5,131.0,Embankments affected,2,2022_05,281,2022_05
2022,5,138.0,Embankments affected,1,2022_05,136,2022_05
2022,5,145.0,Embankments affected,3,2022_05,224,2022_05
2022,5,146.0,Embankments affected,2,2022_05,225,2022_05
2022,5,149.0,Embankments affected,1,2022_05,223,2022_05
2022,5,154.0,Embankments affected,3,2022_05,165,2022_05
2022,5,167.0,Embankments affected,1,2022_05,246,2022_05
2021,7,22.0,Embankments affected,3,2021_07,121,2021_07
2021,7,90.0,Embankments affected,1,2021_07,169,2021_07
2022,10,29.0,Embankments affected,5,2022_10,250,2022_10
2022,10,63.0,Embankments affected,1,2022_10,159,2022_10
2022,10,111.0,Embankments affected,2,2022_10,275,2022_10
2022,10,113.0,Embankments affected,1,2022_10,255,2022_10
2022,10,129.0,Embankments affected,2,2022_10,143,2022_10
2022,6,3.0,Embankments affected,1,2022_06,234,2022_06
2022,6,4.0,Embankments affected,2,2022_06,261,2022_06
2022,6,10.0,Embankments affected,1,2022_06,243,2022_06
2022,6,10.0,Embankments affected,1,2022_06,269,2022_06
2022,6,17.0,Embankments affected,1,2022_06,259,2022_06
2022,6,20.0,Embankments affected,2,2022_06,264,2022_06
2022,6,21.0,Embankments affected,2,2022_06,266,2022_06
2022,6,24.0,Embankments affected,2,2022_06,265,2022_06
2022,6,25.0,Embankments affected,3,2022_06,124,2022_06
2022,6,28.0,Embankments affected,2,2022_06,251,2022_06
2022,6,29.0,Embankments affected,1,2022_06,250,2022_06
2022,6,30.0,Embankments affected,1,2022_06,199,2022_06
2022,6,31.0,Embankments affected,1,2022_06,201,2022_06
2022,6,35.0,Embankments affected,1,2022_06,186,2022_06
2022,6,37.0,Embankments affected,1,2022_06,185,2022_06
2022,6,40.0,Embankments affected,1,2022_06,248,2022_06
2022,6,48.0,Embankments affected,3,2022_06,238,2022_06
2022,6,50.0,Embankments affected,2,2022_06,150,2022_06
2022,6,52.0,Embankments affected,4,2022_06,153,2022_06
2022,6,76.0,Embankments affected,1,2022_06,172,2022_06
2022,6,84.0,Embankments affected,2,2022_06,195,2022_06
2022,6,90.0,Embankments affected,1,2022_06,169,2022_06
2022,6,101.0,Embankments affected,2,2022_06,217,2022_06
2022,6,102.0,Embankments affected,8,2022_06,208,2022_06
2022,6,109.0,Embankments affected,2,2022_06,209,2022_06
2022,6,114.0,Embankments affected,7,2022_06,189,2022_06
2022,6,115.0,Embankments affected,2,2022_06,190,2022_06
2022,6,116.0,Embankments affected,11,2022_06,192,2022_06
2022,6,117.0,Embankments affected,4,2022_06,191,2022_06
2022,6,123.0,Embankments affected,1,2022_06,105,2022_06
2022,6,124.0,Embankments affected,3,2022_06,142,2022_06
2022,6,128.0,Embankments affected,1,2022_06,145,2022_06
2022,6,129.0,Embankments affected,1,2022_06,143,2022_06
2022,6,130.0,Embankments affected,1,2022_06,144,2022_06
2022,6,131.0,Embankments affected,5,2022_06,281,2022_06
2022,6,144.0,Embankments affected,2,2022_06,226,2022_06
2022,6,146.0,Embankments affected,5,2022_06,225,2022_06
2022,6,150.0,Embankments affected,1,2022_06,227,2022_06
2022,6,154.0,Embankments affected,3,2022_06,165,2022_06
2022,6,160.0,Embankments affected,1,2022_06,257,2022_06
2022,6,161.0,Embankments affected,1,2022_06,256,2022_06
2022,6,167.0,Embankments affected,1,2022_06,246,2022_06
2022,6,170.0,Embankments affected,4,2022_06,268,2022_06
2023,2,63.0,Embankments affected,2,2023_02,159,2023_02
2023,7,28.0,Embankments affected,6,2023_07,251,2023_07
2023,7,51.0,Embankments affected,1,2023_07,152,2023_07
2023,7,65.0,Embankments affected,1,2023_07,160,2023_07
2023,7,75.0,Embankments affected,1,2023_07,115,2023_07
2023,7,76.0,Embankments affected,1,2023_07,172,2023_07
2023,7,124.0,Embankments affected,1,2023_07,142,2023_07
2023,7,140.0,Embankments affected,1,2023_07,135,2023_07
2023,7,153.0,Embankments affected,5,2023_07,168,2023_07
2023,7,173.0,Embankments affected,3,2023_07,280,2023_07
2021,8,29.0,Embankments affected,1,2021_08,250,2021_08
2021,8,32.0,Embankments affected,1,2021_08,198,2021_08
2021,8,61.0,Embankments affected,1,2021_08,256,2021_08
2021,8,90.0,Embankments affected,2,2021_08,169,2021_08
2021,8,124.0,Embankments affected,1,2021_08,142,2021_08
2021,8,142.0,Embankments affected,1,2021_08,131,2021_08
2021,8,154.0,Embankments affected,1,2021_08,165,2021_08
2021,8,167.0,Embankments affected,2,2021_08,246,2021_08
2022,7,21.0,Embankments affected,2,2022_07,266,2022_07
2022,7,22.0,Embankments affected,3,2022_07,121,2022_07
2022,7,23.0,Embankments affected,1,2022_07,120,2022_07
2022,7,25.0,Embankments affected,8,2022_07,124,2022_07
2022,7,28.0,Embankments affected,3,2022_07,251,2022_07
2022,7,33.0,Embankments affected,1,2022_07,200,2022_07
2022,7,38.0,Embankments affected,5,2022_07,187,2022_07
2022,7,40.0,Embankments affected,1,2022_07,248,2022_07
2022,7,56.0,Embankments affected,1,2022_07,114,2022_07
2022,7,64.0,Embankments affected,2,2022_07,158,2022_07
2022,7,68.0,Embankments affected,2,2022_07,161,2022_07
2022,7,75.0,Embankments affected,1,2022_07,115,2022_07
2022,7,82.0,Embankments affected,6,2022_07,194,2022_07
2022,7,85.0,Embankments affected,2,2022_07,197,2022_07
2022,7,99.0,Embankments affected,12,2022_07,211,2022_07
2022,7,100.0,Embankments affected,1,2022_07,210,2022_07
2022,7,103.0,Embankments affected,1,2022_07,215,2022_07
2022,7,107.0,Embankments affected,1,2022_07,212,2022_07
2022,7,113.0,Embankments affected,2,2022_07,255,2022_07
2022,7,115.0,Embankments affected,1,2022_07,190,2022_07
2022,7,116.0,Embankments affected,3,2022_07,192,2022_07
2022,7,118.0,Embankments affected,17,2022_07,193,2022_07
2022,7,124.0,Embankments affected,1,2022_07,142,2022_07
2022,7,125.0,Embankments affected,1,2022_07,146,2022_07
2022,7,128.0,Embankments affected,1,2022_07,145,2022_07
2022,7,129.0,Embankments affected,1,2022_07,143,2022_07
2022,7,131.0,Embankments affected,1,2022_07,281,2022_07
2022,7,137.0,Embankments affected,1,2022_07,134,2022_07
2022,7,138.0,Embankments affected,2,2022_07,136,2022_07
2022,7,140.0,Embankments affected,4,2022_07,135,2022_07
2022,7,154.0,Embankments affected,3,2022_07,165,2022_07
2022,7,159.0,Embankments affected,1,2022_07,137,2022_07
2022,7,173.0,Embankments affected,5,2022_07,280,2022_07
2022,9,81.0,Embankments affected,11,2022_09,175,2022_09
2022,9,128.0,Embankments affected,1,2022_09,145,2022_09
2022,9,140.0,Embankments affected,2,2022_09,135,2022_09
2022,9,154.0,Embankments affected,1,2022_09,165,2022_09
2022,4,38.0,Embankments affected,8,2022_04,187,2022_04
2022,4,116.0,Embankments affected,8,2022_04,192,2022_04
2022,4,118.0,Embankments affected,4,2022_04,193,2022_04
2022,8,10.0,Embankments affected,1,2022_08,243,2022_08
2022,8,10.0,Embankments affected,1,2022_08,269,2022_08
2022,8,25.0,Embankments affected,2,2022_08,124,2022_08
2022,8,28.0,Embankments affected,1,2022_08,251,2022_08
2022,8,29.0,Embankments affected,1,2022_08,250,2022_08
2022,8,52.0,Embankments affected,1,2022_08,153,2022_08
2022,8,90.0,Embankments affected,4,2022_08,169,2022_08
2022,8,129.0,Embankments affected,1,2022_08,143,2022_08
2022,8,139.0,Embankments affected,2,2022_08,133,2022_08
2022,8,140.0,Embankments affected,1,2022_08,135,2022_08
2021,5,29.0,Embankments affected,1,2021_05,250,2021_05
2021,5,145.0,Embankments affected,1,2021_05,224,2021_05
2021,6,17.0,Embankments affected,1,2021_06,259,2021_06
2021,6,21.0,Embankments affected,1,2021_06,266,2021_06
2021,6,26.0,Embankments affected,2,2021_06,123,2021_06
2021,6,29.0,Embankments affected,3,2021_06,250,2021_06
2021,6,45.0,Embankments affected,1,2021_06,205,2021_06
2021,6,90.0,Embankments affected,2,2021_06,169,2021_06
2021,6,91.0,Embankments affected,2,2021_06,170,2021_06
2021,6,124.0,Embankments affected,1,2021_06,142,2021_06
2021,6,130.0,Embankments affected,1,2021_06,144,2021_06
2021,6,167.0,Embankments affected,6,2021_06,246,2021_06
2021,6,170.0,Embankments affected,2,2021_06,268,2021_06
2022,11,90.0,Embankments affected,1,2022_11,169,2022_11
2023,6,10.0,Embankments affected,5,2023_06,243,2023_06
2023,6,10.0,Embankments affected,5,2023_06,269,2023_06
2023,6,17.0,Embankments affected,4,2023_06,259,2023_06
2023,6,24.0,Embankments affected,1,2023_06,265,2023_06
2023,6,25.0,Embankments affected,2,2023_06,124,2023_06
2023,6,28.0,Embankments affected,26,2023_06,251,2023_06
2023,6,46.0,Embankments affected,1,2023_06,239,2023_06
2023,6,50.0,Embankments affected,1,2023_06,150,2023_06
2023,6,51.0,Embankments affected,1,2023_06,152,2023_06
2023,6,52.0,Embankments affected,1,2023_06,153,2023_06
2023,6,53.0,Embankments affected,1,2023_06,151,2023_06
2023,6,75.0,Embankments affected,1,2023_06,115,2023_06
2023,6,76.0,Embankments affected,2,2023_06,172,2023_06
2023,6,99.0,Embankments affected,3,2023_06,211,2023_06
2023,6,116.0,Embankments affected,1,2023_06,192,2023_06
2023,6,129.0,Embankments affected,1,2023_06,143,2023_06
2023,6,140.0,Embankments affected,1,2023_06,135,2023_06
2023,6,144.0,Embankments affected,15,2023_06,226,2023_06
2023,6,146.0,Embankments affected,2,2023_06,225,2023_06
2023,6,147.0,Embankments affected,4,2023_06,228,2023_06
2023,6,148.0,Embankments affected,1,2023_06,222,2023_06
2023,6,149.0,Embankments affected,2,2023_06,223,2023_06
2023,6,150.0,Embankments affected,1,2023_06,227,2023_06
2021,9,29.0,Embankments affected,1,2021_09,250,2021_09
2021,9,35.0,Embankments affected,1,2021_09,186,2021_09
2021,9,37.0,Embankments affected,8,2021_09,185,2021_09
2021,9,38.0,Embankments affected,14,2021_09,187,2021_09
2021,9,39.0,Embankments affected,2,2021_09,188,2021_09
2021,9,92.0,Embankments affected,1,2021_09,276,2021_09
2021,9,167.0,Embankments affected,2,2021_09,246,2021_09
2021,9,173.0,Embankments affected,1,2021_09,280,2021_09
