year,month,RC_Id,Type,num_damages,year_month,object_id
2022,06,3.0,Embankments affected,1,2022_06,234.0
2022,06,4.0,Embankments affected,2,2022_06,261.0
2022,06,10.0,Embankments affected,1,2022_06,243.0
2022,06,10.0,Embankments affected,1,2022_06,269.0
2022,06,17.0,Embankments affected,1,2022_06,259.0
2022,06,20.0,Embankments affected,2,2022_06,264.0
2022,06,21.0,Embankments affected,2,2022_06,266.0
2022,06,24.0,Embankments affected,2,2022_06,265.0
2022,06,25.0,Embankments affected,3,2022_06,124.0
2022,06,28.0,Embankments affected,2,2022_06,251.0
2022,06,29.0,Embankments affected,1,2022_06,250.0
2022,06,30.0,Embankments affected,1,2022_06,199.0
2022,06,31.0,Embankments affected,1,2022_06,
2022,06,35.0,Embankments affected,1,2022_06,186.0
2022,06,37.0,Embankments affected,1,2022_06,185.0
2022,06,40.0,Embankments affected,1,2022_06,248.0
2022,06,48.0,Embankments affected,3,2022_06,238.0
2022,06,50.0,Embankments affected,2,2022_06,150.0
2022,06,52.0,Embankments affected,4,2022_06,153.0
2022,06,76.0,Embankments affected,1,2022_06,172.0
2022,06,84.0,Embankments affected,2,2022_06,195.0
2022,06,90.0,Embankments affected,1,2022_06,169.0
2022,06,101.0,Embankments affected,2,2022_06,217.0
2022,06,102.0,Embankments affected,8,2022_06,208.0
2022,06,109.0,Embankments affected,2,2022_06,209.0
2022,06,114.0,Embankments affected,7,2022_06,189.0
2022,06,115.0,Embankments affected,2,2022_06,190.0
2022,06,116.0,Embankments affected,11,2022_06,192.0
2022,06,117.0,Embankments affected,4,2022_06,191.0
2022,06,123.0,Embankments affected,1,2022_06,105.0
2022,06,124.0,Embankments affected,3,2022_06,142.0
2022,06,128.0,Embankments affected,1,2022_06,145.0
2022,06,129.0,Embankments affected,1,2022_06,143.0
2022,06,130.0,Embankments affected,1,2022_06,144.0
2022,06,131.0,Embankments affected,5,2022_06,281.0
2022,06,144.0,Embankments affected,2,2022_06,226.0
2022,06,146.0,Embankments affected,5,2022_06,225.0
2022,06,150.0,Embankments affected,1,2022_06,227.0
2022,06,154.0,Embankments affected,3,2022_06,165.0
2022,06,160.0,Embankments affected,1,2022_06,257.0
2022,06,161.0,Embankments affected,1,2022_06,256.0
2022,06,167.0,Embankments affected,1,2022_06,246.0
2022,06,170.0,Embankments affected,4,2022_06,268.0
