month,DISTRICT_FINALISED,REVENUE_CIRCLE_FINALISED,Awarded Value
2023_02,BAKSA,Baksa,18207521.830000002
2023_02,CACHAR,Katigora,12501000.0
2023_02,CHIRANG,Bengtal,884815602.0
2023_02,CHIRANG,Bijni (Pt),3329964.0
2023_02,CHIRANG,Sidli (Pt),0.0
2023_02,DIBRUGARH,Dibrugarh East,4668718.0
2023_02,HAILAKANDI,Hailakandi,10589082.0
2023_02,KAMRUP,Goroimari,5248874.0
2023_02,KAMRUP,Palasbari,0.0
2023_02,KAMRUP METRO,Guwahati,76788803.0
2023_02,KOKRAJHAR,Kokrajhar (Pt),4499990.0
2023_02,SIVSAGAR,Sibsagar,1787351.0
