month,DISTRICT_FINALISED,REVENUE_CIRCLE_FINALISED,Awarded Value
2023_03,BAKSA,Baksa,48097550.0
2023_03,BARPETA,Barpeta,331493801.0
2023_03,BARPETA,Kalgachia,9589199.0
2023_03,CACHAR,Silchar,102290039.0
2023_03,CHIRANG,Bengtal,5917427.1
2023_03,CHIRANG,Bijni (Pt),4964057.0
2023_03,DARRANG,Mangaldoi (Pt),87842145.0
2023_03,DHEMAJI,Dhemaji,295530888.55
2023_03,DHUBRI,Dhubri (Pt),156123495.0
2023_03,DIBRUGARH,Chabua,84106903.0
2023_03,HAILAKANDI,Hailakandi,415339389.0
2023_03,JORHAT,Jorhat West,27151263.0
2023_03,KAMRUP,Boko,3325000.0
2023_03,KAMRUP METRO,Guwahati,803935813.62
2023_03,KARIMGANJ,Badarpur,158635215.0
2023_03,KARIMGANJ,Karimganj,44728009.0
2023_03,KOKRAJHAR,Kokrajhar (Pt),22996576.85
2023_03,LAKHIMPUR,Subansiri (Pt-I),10980000.0
2023_03,MAJULI,Majuli,278479779.0
2023_03,MORIGAON,Marigaon,173008113.0
2023_03,MORIGAON,Mayong,4049974.0
2023_03,NAGAON,Nagaon,369703552.67
2023_03,NALBARI,Nalbari,163431117.0
2023_03,SIVSAGAR,Amguri,78315300.0
2023_03,TAMULPUR,Goreswar (Pt),4406100.0
2023_03,TAMULPUR,Tamulpur,329334807.0
2023_03,UDALGURI,Harisinga,70680294.9
2023_03,UDALGURI,Udalguri,370486850.0
2023_03,WEST KARBI ANGLONG,Donka,144102252.0
