Date,District,Revenue Circle,Number,Details,state,ID,assam_dist
2024-07-28,CACHAR,Katigorah,Cachar,Embankment Affected Name: Nil | Department: Nil | Village: Nil | Location: Nil | Longitude: Nil | Latitude: Nil,ASSAM,1,
2024-07-28,DHEMAJI,Sissiborgaon,Dhemaji,Embankment Affected Name: Nil | Department: Nil | Village: Nil | Location: Nil | Longitude: Nil | Latitude: Nil,ASSAM,1,
2024-07-28,DIBRUGARH,Dibrugarh West,Dibrugarh,Embankment Affected Name: Nil | Department: Nil | Village: Nil | Location: Nil | Longitude: Nil | Latitude: Nil,ASSAM,1,
2024-07-28,GOLAGHAT,Golaghat,Golaghat,Embankment Affected Name: Nil | Department: Nil | Village: Nil | Location: Nil | Longitude: Nil | Latitude: Nil,ASSAM,1,
2024-07-28,KARIMGANJ,Nilambazar,Karimganj,Embankment Affected Name: Nil | Department: Nil | Village: Nil | Location: Nil | Longitude: Nil | Latitude: Nil,ASSAM,1,
2024-07-28,NAGAON,Kaliabor,Nagaon,Embankment Affected Name: Nil | Department: Nil | Village: Nil | Location: Nil | Longitude: Nil | Latitude: Nil,ASSAM,1,
2024-07-28,SIVSAGAR,Demow,Sivasagar,Embankment Affected Name: Nil | Department: Nil | Village: Nil | Location: Nil | Longitude: Nil | Latitude: Nil,ASSAM,1,
2024-08-05,BARPETA,Barpeta,Barpeta,Embankment Affected Name: Nil | Department: Nil | Village: Nil | Location: Nil | Longitude: Nil | Latitude: Nil,ASSAM,1,
2024-08-05,DHEMAJI,Jonai,Dhemaji,Embankment Affected Name: Nil | Department: Nil | Village: Nil | Location: Nil | Longitude: Nil | Latitude: Nil,ASSAM,1,
2024-08-05,NAGAON,Samaguri,Nagaon,Embankment Affected Name: Nil | Department: Nil | Village: Nil | Location: Nil | Longitude: Nil | Latitude: Nil | Remarks: Nil,ASSAM,1,
2024-08-05,SIVSAGAR,Sivsagar,Sivasagar,Embankment Affected Name: Nil | Department: Nil | Village: Nil | Location: Nil | Longitude: Nil | Latitude: Nil | Remarks: Nil,ASSAM,1,
2024-08-09,DHEMAJI,Jonai,Dhemaji,Embankment Affected Name: Nil | Department: Nil | Village: Nil | Location: Nil | Longitude: Nil | Latitude: Nil,ASSAM,1,
2024-08-09,GOALPARA,Balijana,Goalpara,Embankment Affected Name: Public Health Engineering (PHE) (in Nos) | Department: 15 | Village: Tiaparachar purbapara pwss | Location: PHE | Longitude: Tiapara | Latitude: Tiapara,ASSAM,1,
2024-08-09,GOLAGHAT,Golaghat,Golaghat,Embankment Affected Name: Nil | Department: Nil | Village: Nil | Location: Nil | Longitude: Nil | Latitude: Nil,ASSAM,1,
2024-08-09,SIVSAGAR,Nazira,Sivasagar,Embankment Affected Name: Nil | Department: Nil | Village: Nil | Location: Nil | Longitude: Nil | Latitude: Nil,ASSAM,1,
2024-08-16,CHARAIDEO,Sonari,Charaideo,Embankment Affected Name: Fisheries/Pond (in Hect.) | Department: 1 | Village: Dipa gogoi | Location: Fishery | Longitude: Bhojo Gaon | Latitude: Sonari,ASSAM,1,
2024-08-16,DHEMAJI,Jonai,Dhemaji,Embankment Affected Name: Nil | Department: Nil | Village: Nil | Location: Nil | Longitude: Nil | Latitude: Nil,ASSAM,1,
2024-08-16,DIBRUGARH,Tingkhong,Dibrugarh,Embankment Affected Name: Nil | Department: Nil | Village: Nil | Location: Nil | Longitude: Nil | Latitude: Nil,ASSAM,1,
2024-08-16,GOALPARA,Lakhipur,Goalpara,Embankment Affected Name: Nil | Department: Nil | Village: Nil | Location: Nil | Longitude: Nil | Latitude: Nil,ASSAM,1,
2024-08-16,GOLAGHAT,Khumtai,Golaghat,Embankment Affected Name: Nil | Department: Nil | Village: Nil | Location: Nil | Longitude: Nil | Latitude: Nil,ASSAM,1,
2024-08-16,SIVSAGAR,Demow,Sivasagar,Embankment Affected Name: Nil | Department: Nil | Village: Nil | Location: Nil | Longitude: Nil | Latitude: Nil,ASSAM,1,
2024-08-16,UDALGURI,Udalguri,Udalguri,Embankment Affected Name: Power Dept. Conductors (in Nos) | Department: 25 | Village: LT conductor snapped | Location: APDCL | Longitude: Khagrabari | Latitude: Khagrabari,ASSAM,1,
2024-08-19,DHEMAJI,Jonai,Dhemaji,Embankment Affected Name: Nil | Department: Nil | Village: Nil | Location: Nil | Longitude: Nil | Latitude: Nil,ASSAM,1,
2024-08-19,K.ANGLONG,Phuloni,Karbi Anglong,Embankment Affected Name: Nil | Department: Nil | Village: Nil | Location: Nil | Longitude: Nil | Latitude: Nil,ASSAM,1,
2024-08-19,SIVSAGAR,Demow,Sivasagar,Embankment Affected Name: Nil | Department: Nil | Village: Nil | Location: Nil | Longitude: Nil | Latitude: Nil,ASSAM,1,
2024-08-20,CHARAIDEO,Mahmora,Charaideo,Embankment Affected Name: Nil | Department: Nil | Village: Nil | Location: Nil | Longitude: Nil | Latitude: Nil,ASSAM,1,
2024-08-20,DHEMAJI,Jonai,Dhemaji,Embankment Affected Name: Nil | Department: Nil | Village: Nil | Location: Nil | Longitude: Nil | Latitude: Nil,ASSAM,1,
2024-08-20,DIBRUGARH,Tingkhong,Dibrugarh,Embankment Affected Name: Nil | Department: Nil | Village: Nil | Location: Nil | Longitude: Nil | Latitude: Nil,ASSAM,1,
