state,district,ID,assam_dist,mean,count
ASSAM,DHUBRI,1,2011Dhub,-0.017526441578501643,1732
ASSAM,SOUTH SALMARA MANCACHAR,2,2019Sout,0.008560270071029663,768
ASSAM,MORIGAON,3,2011Mori,-0.05921378867754798,1687
ASSAM,TINSUKIA,4,2011Tins,-0.04538163342401576,4299
ASSAM,CHARAIDEO,5,2019Char,0.02436807632446289,1200
ASSAM,GOLAGHAT,6,2011Gola,0.02807404948452741,3947
ASSAM,DHEMAJI,7,2011Dhem,-0.006180357339119148,2810
ASSAM,K.ANGLONG,8,2011Karb,-0.10835709327007564,8180
ASSAM,KOKRAJHAR,9,2011Kokr,-0.011950139535703813,3517
ASSAM,BONGAIGAON,10,2011Bong,-0.029017812327334757,1216
ASSAM,NAGAON,11,2011Naga,-0.021302181054215406,2896
ASSAM,HAILAKANDI,12,2011Hail,-0.08562258367669093,1460
ASSAM,CHIRANG,13,2011Chir,-0.03225091733245004,2164
ASSAM,WEST KARBI ANGLONG,14,2019West,-0.08186516994010189,3429
ASSAM,LAKHIMPUR,15,2011Lakh,-0.005469547369029493,3058
ASSAM,GOALPARA,16,2011Goal,0.016431869610168594,2215
ASSAM,CACHAR,17,2011Cach,-0.1278201536657362,4187
ASSAM,MAJULI,18,2019Maju,0.0601145270150467,895
ASSAM,NALBARI,19,2011Nalb,-0.0051648430237970985,1163
ASSAM,DIMA HASAO,20,2011Dima,-0.14539518676442617,5422
ASSAM,UDALGURI,21,2011Udal,0.006253006710303879,2261
ASSAM,JORHAT,22,2011Jorh,0.012853919836702248,2296
ASSAM,HOJAI,23,2019Hoja,0.054772987741554896,1624
ASSAM,BISWANATH,24,2019Bisw,0.012948778575052044,2004
ASSAM,SONITPUR,25,2011Soni,0.01022630649054995,3862
ASSAM,DARRANG,26,2011Darr,-0.0030303148989873317,1777
ASSAM,DIBRUGARH,27,2011Dibr,0.041927435664400485,3814
ASSAM,KARIMGANJ,28,2011Kari,-0.05254996356504396,2033
ASSAM,KAMRUP METRO,29,2011KamrM,-0.035117324939273324,1108
ASSAM,KAMRUP,30,2011Kamr,-0.033336632796853574,3464
ASSAM,SIVSAGAR,31,2011Siva,0.04810618225957306,1775
ASSAM,BARPETA,32,2011Barp,-0.03574666858062305,2086
ASSAM,BAJALI,33,2022Baja,-0.027175223878524845,466
ASSAM,TAMULPUR,34,2011Tamu,-0.014131831249652293,983
ASSAM,BAKSA,35,2011Baks,-0.031230568275169412,1757
