revenue_ci,district_3,object_id,district_1,revenue_cr,HQ,area,are_new,sum_population
Gossaigaon (Pt),KOKRAJHAR,101,Kokrajhar,Gossaigaon (Pt),,1068571780.0,1069,339253.125
Bhowraguri,KOKRAJHAR,102,Kokrajhar,Bhawraguri,,158892607.3,159,56939.73828125
Dotoma,KOKRAJHAR,103,Kokrajhar,Dotoma,,303966231.6,304,200861.484375
Kokrajhar (Pt),KOKRAJHAR,104,Kokrajhar,Kokrajhar (Pt),y,990246710.7,990,336982.59375
Bagribari (Pt),KOKRAJHAR,105,Kokrajhar,Bagribari (Pt),,281011470.5,281,110783.6875
Golokganj (Pt),KOKRAJHAR,106,Kokrajhar,Golokganj (Pt),,102804109.1,103,47987.94921875
Dhubri (Pt),KOKRAJHAR,107,Kokrajhar,Dhubri (Pt),,124091385.6,124,77570.6328125
Chapar (Pt),KOKRAJHAR,108,Kokrajhar,Chapar (Pt),,101233159.3,101,105940.15625
Bagribari (Pt),DHUBRI,109,Dhubri,Bagribari (Pt),,212860104.4,213,181100.796875
Agamoni,DHUBRI,110,Dhubri,Agamoni,,220975059.2,221,168943.453125
Golokganj (Pt),DHUBRI,111,Dhubri,Golakganj (Pt),,199162500.1,199,158106.1875
Dhubri (Pt),DHUBRI,112,Dhubri,Dhubri (Pt),y,357274694.3,357,380978.59375
Bilasipara (Pt),DHUBRI,113,Dhubri,Bilasipara (Pt),,294886928.3,295,300497.84375
Chapar (Pt),DHUBRI,114,Dhubri,Chapar (Pt),,195049812.7,195,65011.1484375
Lakhipur,GOALPARA,115,Goalpara,Lakhipur,,486513089.8,487,211195.078125
Balijana,GOALPARA,116,Goalpara,Balijana,,541158544.1,541,298188.90625
Matia,GOALPARA,117,Goalpara,Matia,,477602971.1,478,290885.90625
Dudhnai,GOALPARA,118,Goalpara,Dudhnoi,,196278296.1,196,76923.921875
Rangjuli,GOALPARA,119,Goalpara,Rangjuli,,277190398.1,277,134588.46875
Kalgachia,BARPETA,120,Barpeta,Kalgachia,,232225684.6,232,207373.4375
Baghbor,BARPETA,121,Barpeta,Baghbor,,512830660.7,513,306443.71875
Barpeta,BARPETA,122,Barpeta,Barpeta,y,315725333.4,316,382629.5
Sarthebari,BARPETA,123,Barpeta,Sarthebari,,261719921.4,262,205526.265625
Bajali (Pt),BAJALI,124,Barpeta,Bajali (Pt),,167129509.3,167,116201.890625
Jalah (Pt),BAJALI,125,Barpeta,Jalah (Pt),,41272560.57,41,23212.623046875
Bhuragaon,MORIGAON,126,Morigaon,Bhuragaon,,218905955.5,219,118055.8125
Laharighat,MORIGAON,127,Morigaon,Laharighat,,232534594.4,233,255640.59375
Marigaon,MORIGAON,128,Morigaon,Morigaon,y,389659479.6,390,231093.75
Mikirbheta,MORIGAON,129,Morigaon,Mikirbheta,,183812069.7,184,189598.625
Kaliabor,NAGAON,130,Nagaon,Kaliabor,,580444524.8,580,278773.5625
Samaguri,NAGAON,131,Nagaon,Samaguri,,342479635.6,342,363305.71875
Rupahi,NAGAON,132,Nagaon,Rupahi,,305559066.5,306,275440.25
Dhing,NAGAON,133,Nagaon,Dhing,,247888462.7,248,414967.78125
Nagaon,NAGAON,134,Nagaon,Nagaon,y,372041429.1,372,440921.9375
Raha,NAGAON,135,Nagaon,Raha,,340889151.3,341,174669.203125
Kampur,NAGAON,136,Nagaon,Kampur,,375122906.9,375,259582.375
Dhekiajuli (Pt),SONITPUR,137,Sonitpur,Dhekiajuli (Pt),,1231160620.0,1231,514720.9375
Chariduar,SONITPUR,138,Sonitpur,Chariduar,,999613694.8,1000,280297.0625
Tezpur,SONITPUR,139,Sonitpur,Tezpur,y,546146490.7,546,372531.0625
Na-Duar,SONITPUR,140,Sonitpur,Naduar,,668195595.7,668,230016.328125
Narayanpur,LAKHIMPUR,141,Lakhimpur,Narayanpur,,380387815.9,380,141564.484375
Bihpuria,LAKHIMPUR,142,Lakhimpur,Bihpuria,,406987947.4,407,253793.5
Naobaicha,LAKHIMPUR,143,Lakhimpur,Nowboicha,,329777873.3,330,158151.296875
Kadam,LAKHIMPUR,144,Lakhimpur,Kadam,,523299066.2,523,100009.46875
North Lakhimpur,LAKHIMPUR,145,Lakhimpur,North Lakhimpur,y,615562945.6,616,239320.875
Dhakuakhana (Pt-I),LAKHIMPUR,146,Lakhimpur,Dhakuakhana (Pt-I),,462433414.6,462,114897.6796875
Subansiri (Pt-I),LAKHIMPUR,147,Lakhimpur,Subansiri (Pt-I),,279641275.4,280,98466.6328125
Dhakuakhana (Pt-II),DHEMAJI,148,Dhemaji,Dhakuakhana (Pt-II),,8932180.563,9,2967.440185546875
Subansiri (Pt-II),DHEMAJI,149,Dhemaji,Subansiri (Pt-II),,155210841.0,155,7216.29541015625
Dhemaji,DHEMAJI,150,Dhemaji,Dhemaji,y,396211702.6,396,135395.046875
Sissibargaon,DHEMAJI,151,Dhemaji,Sissiborgaon,,745985547.0,746,257524.734375
Jonai,DHEMAJI,152,Dhemaji,Jonai,,852661889.7,853,165100.359375
Gogamukh,DHEMAJI,153,Dhemaji,Gogamukh,,323763379.2,324,99923.5390625
Sadiya,TINSUKIA,154,Tinsukia,Sadiya,,851463185.0,851,101461.765625
Doom Dooma,TINSUKIA,155,Tinsukia,Doom Dooma,,936656924.2,937,456752.78125
Tinsukia,TINSUKIA,156,Tinsukia,Tinsukia,y,890346165.2,890,431289.5625
Margherita,TINSUKIA,157,Tinsukia,Margherita,,1132319376.0,1132,355398.1875
Dibrugarh West,DIBRUGARH,158,Dibrugarh,Dibrugarh West,,723055766.0,723,186763.046875
Dibrugarh East,DIBRUGARH,159,Dibrugarh,Dibrugarh East,,392607310.5,393,239459.953125
Chabua,DIBRUGARH,160,Dibrugarh,Chabua,,658137348.7,658,169880.765625
Tengakhat,DIBRUGARH,161,Dibrugarh,Tengakhat,,355331353.1,355,252004.421875
Moran,DIBRUGARH,162,Dibrugarh,Moran,,394752534.0,395,179360.25
Tingkhong,DIBRUGARH,163,Dibrugarh,Tingkhong,,391326093.4,391,192287.8125
Naharkatiya,DIBRUGARH,164,Dibrugarh,Naharkatia,,464307367.8,464,241665.0
Dimow,SIVSAGAR,165,SIVSAGAR,Demow,,478427786.7,478,190778.546875
Sibsagar,SIVSAGAR,166,SIVSAGAR,Sivsagar,y,388026773.7,388,191158.4375
Amguri,SIVSAGAR,167,SIVSAGAR,Amguri,,314868728.7,315,154676.078125
Nazira,SIVSAGAR,168,SIVSAGAR,Nazira,,386224425.1,386,235043.390625
Teok,JORHAT,169,Jorhat,Teok,,449551926.2,450,153106.140625
Titabor,JORHAT,170,Jorhat,Titabor,,419204313.3,419,270904.34375
Mariani,JORHAT,171,Jorhat,Mariani,,436514584.8,437,155460.4375
Bokakhat,GOLAGHAT,172,Golaghat,Bokakhat,,850138736.1,850,202391.9375
Khumtai,GOLAGHAT,173,Golaghat,Khumtai,,473079404.2,473,110134.734375
Dergaon,GOLAGHAT,174,Golaghat,Dergaon,,322577977.5,323,152615.828125
Golaghat,GOLAGHAT,175,Golaghat,Golaghat,y,658333420.5,658,399187.34375
Morangi,GOLAGHAT,176,Golaghat,Morangi,,318699785.4,319,135910.421875
Sarupathar,GOLAGHAT,177,Golaghat,Sarupathar,,900371843.1,900,256707.703125
Diphu,K.ANGLONG,178,Karbi Anglong,Diphu,y,2467568183.0,2468,281074.625
Silonijan,K.ANGLONG,179,K.ANGLONG,Silonijan,,1566331644.0,1566,100530.2578125
Umrangso,DIMA HASAO,180,Dima Hasao,Umrangso,,1459647329.0,1460,97808.5546875
Haflong,DIMA HASAO,181,Dima Hasao,Haflong,y,1023944193.0,1024,69436.6953125
Mahur,DIMA HASAO,182,Dima Hasao,Mahur,,568176425.1,568,33391.5546875
Maibong,DIMA HASAO,183,Dima Hasao,Maibong,,1831786745.0,1832,72535.359375
Katigora,CACHAR,184,Cachar,Katigorah,,744022581.1,744,309815.9375
Silchar,CACHAR,185,Cachar,Silchar,y,837931796.0,838,709029.9375
Udarbond,CACHAR,186,Cachar,Udharbond,,447088875.6,447,172119.046875
Sonai,CACHAR,187,Cachar,Sonai,,999733880.6,1000,347228.375
Lakhipur,CACHAR,188,Cachar,Lakhipur,,754436388.7,754,458329.65625
Karimganj,KARIMGANJ,189,Karimganj,Karimganj,y,178166572.6,178,312962.4375
Badarpur,KARIMGANJ,190,Karimganj,Badarpur,,134391085.3,134,154537.296875
Nilambazar,KARIMGANJ,191,Karimganj,Nilambazar,,280417099.0,280,242208.9375
Patharkandi,KARIMGANJ,192,Karimganj,Patherkandi,,672170922.1,672,278366.8125
"Ramkrishna
Nagar",KARIMGANJ,193,Karimganj,RK Nagar,,575000985.9,575,320129.375
Algapur,HAILAKANDI,194,Hailakandi,Algapur,,156280173.0,156,116266.6328125
Hailakandi,HAILAKANDI,195,Hailakandi,Hailakandi,y,160989094.7,161,163865.125
Lala,HAILAKANDI,196,Hailakandi,Lala,,270081600.3,270,242366.296875
Katlichara,HAILAKANDI,197,Hailakandi,Katlicherra,,741771269.3,742,197789.734375
"Bongaigaon
(Pt)",BONGAIGAON,198,Bongaigaon,"Bongaigaon
(Pt)",y,189396060.5,189,142046.90625
Boitamari,BONGAIGAON,199,Bongaigaon,Boitamari,,297089853.0,297,125528.4453125
Srijangram,BONGAIGAON,200,Bongaigaon,Srijangram,,347583760.8,348,307343.1875
Sidli (Pt-II),BONGAIGAON,201,Bongaigaon,Sidli (Pt-II),,85041947.25,85,56630.14453125
Manikpur,BONGAIGAON,202,Bongaigaon,Manikpur,,169010249.7,169,130531.78125
Kokrajhar (Pt),CHIRANG,203,Chirang,Kokrajhar (Pt),,12538462.77,13,10147.181640625
Barnagar (Pt),CHIRANG,204,Chirang,Barnagar (Pt),,34321102.47,34,19345.48046875
Bengtal,CHIRANG,205,Chirang,Bengtal,,715955682.4,716,116135.8828125
Sidli (Pt),CHIRANG,206,Chirang,Sidli (Pt),,228893704.6,229,115342.5
Bijni (Pt),CHIRANG,207,Chirang,Bijni (Pt),,934195919.7,934,331580.375
"Rangia
(Pt)",KAMRUP,208,Kamrup,"Rangia
(Pt)",,186407362.6,186,185750.78125
Koya,KAMRUP,209,Kamrup,Kayan,,53612722.14,54,53348.62109375
Kamalpur,KAMRUP,210,Kamrup,Kamalpur,,250170012.1,250,199657.9375
Hajo,KAMRUP,211,Kamrup,Hajo,,412841145.7,413,72234.2265625
Chhaygaon,KAMRUP,212,Kamrup,Chhaygaon,,470741379.3,471,133329.8125
